x	y
0.5	34.5
0.5	35.5
0.5	36.5
0.5	37.5
0.5	38.5
0.5	39.5
0.5	40.5
0.5	41.5
0.5	42.5
0.5	43.5
0.5	44.5
0.5	45.5
0.5	46.5
0.5	47.5
0.5	48.5
0.5	49.5
0.5	50.5
0.5	51.5
0.5	52.5
0.5	53.5
0.5	54.5
0.5	55.5
0.5	56.5
0.5	57.5
0.5	58.5
0.5	59.5
1.5	32.5
1.5	33.5
1.5	34.5
1.5	35.5
1.5	36.5
1.5	37.5
1.5	38.5
1.5	39.5
1.5	40.5
1.5	41.5
1.5	42.5
1.5	43.5
1.5	44.5
1.5	45.5
1.5	46.5
1.5	47.5
1.5	48.5
1.5	49.5
1.5	50.5
1.5	51.5
1.5	52.5
1.5	53.5
1.5	54.5
1.5	55.5
1.5	56.5
1.5	57.5
1.5	58.5
1.5	59.5
2.5	31.5
2.5	32.5
2.5	33.5
2.5	35.5
2.5	36.5
2.5	37.5
2.5	38.5
2.5	39.5
2.5	40.5
2.5	41.5
2.5	42.5
2.5	43.5
2.5	44.5
2.5	45.5
2.5	46.5
2.5	47.5
2.5	48.5
2.5	49.5
2.5	50.5
2.5	51.5
2.5	52.5
2.5	53.5
2.5	54.5
2.5	55.5
2.5	56.5
2.5	57.5
2.5	58.5
2.5	59.5
3.5	32.5
3.5	33.5
3.5	34.5
3.5	35.5
3.5	37.5
3.5	38.5
3.5	39.5
3.5	40.5
3.5	41.5
3.5	42.5
3.5	43.5
3.5	44.5
3.5	45.5
3.5	46.5
3.5	47.5
3.5	48.5
3.5	49.5
3.5	50.5
3.5	51.5
3.5	52.5
3.5	53.5
3.5	54.5
3.5	55.5
3.5	56.5
3.5	57.5
3.5	58.5
3.5	59.5
4.5	31.5
4.5	32.5
4.5	33.5
4.5	34.5
4.5	35.5
4.5	37.5
4.5	39.5
4.5	40.5
4.5	41.5
4.5	42.5
4.5	43.5
4.5	44.5
4.5	45.5
4.5	46.5
4.5	47.5
4.5	48.5
4.5	49.5
4.5	50.5
4.5	51.5
4.5	52.5
4.5	53.5
4.5	54.5
4.5	55.5
4.5	56.5
4.5	57.5
4.5	58.5
4.5	59.5
5.5	31.5
5.5	32.5
5.5	34.5
5.5	35.5
5.5	36.5
5.5	37.5
5.5	38.5
5.5	39.5
5.5	40.5
5.5	41.5
5.5	42.5
5.5	43.5
5.5	44.5
5.5	45.5
5.5	46.5
5.5	47.5
5.5	48.5
5.5	49.5
5.5	50.5
5.5	51.5
5.5	52.5
5.5	53.5
5.5	54.5
5.5	55.5
5.5	56.5
5.5	57.5
5.5	58.5
6.5	29.5
6.5	30.5
6.5	31.5
6.5	32.5
6.5	33.5
6.5	36.5
6.5	37.5
6.5	38.5
6.5	39.5
6.5	40.5
6.5	41.5
6.5	42.5
6.5	43.5
6.5	44.5
6.5	45.5
6.5	46.5
6.5	47.5
6.5	48.5
6.5	49.5
6.5	50.5
6.5	51.5
6.5	52.5
6.5	53.5
6.5	54.5
6.5	55.5
6.5	56.5
6.5	57.5
6.5	58.5
7.5	29.5
7.5	31.5
7.5	32.5
7.5	33.5
7.5	36.5
7.5	37.5
7.5	38.5
7.5	39.5
7.5	40.5
7.5	41.5
7.5	42.5
7.5	43.5
7.5	44.5
7.5	45.5
7.5	46.5
7.5	47.5
7.5	48.5
7.5	49.5
7.5	50.5
7.5	51.5
7.5	52.5
7.5	53.5
7.5	54.5
7.5	55.5
7.5	56.5
7.5	57.5
7.5	58.5
8.5	29.5
8.5	31.5
8.5	32.5
8.5	33.5
8.5	34.5
8.5	35.5
8.5	36.5
8.5	37.5
8.5	38.5
8.5	39.5
8.5	40.5
8.5	41.5
8.5	42.5
8.5	43.5
8.5	44.5
8.5	45.5
8.5	46.5
8.5	47.5
8.5	48.5
8.5	49.5
8.5	50.5
8.5	51.5
8.5	52.5
8.5	53.5
8.5	54.5
8.5	55.5
8.5	56.5
8.5	57.5
9.5	27.5
9.5	29.5
9.5	30.5
9.5	31.5
9.5	32.5
9.5	34.5
9.5	35.5
9.5	36.5
9.5	37.5
9.5	38.5
9.5	39.5
9.5	40.5
9.5	41.5
9.5	42.5
9.5	43.5
9.5	44.5
9.5	45.5
9.5	46.5
9.5	47.5
9.5	48.5
9.5	49.5
9.5	50.5
9.5	51.5
9.5	52.5
9.5	53.5
9.5	54.5
9.5	55.5
9.5	56.5
9.5	57.5
10.5	28.5
10.5	29.5
10.5	30.5
10.5	33.5
10.5	34.5
10.5	35.5
10.5	36.5
10.5	37.5
10.5	38.5
10.5	39.5
10.5	40.5
10.5	41.5
10.5	42.5
10.5	43.5
10.5	44.5
10.5	45.5
10.5	46.5
10.5	47.5
10.5	48.5
10.5	49.5
10.5	50.5
10.5	51.5
10.5	52.5
10.5	53.5
10.5	54.5
10.5	55.5
10.5	56.5
10.5	57.5
10.5	58.5
11.5	26.5
11.5	27.5
11.5	28.5
11.5	29.5
11.5	30.5
11.5	32.5
11.5	33.5
11.5	34.5
11.5	35.5
11.5	36.5
11.5	37.5
11.5	38.5
11.5	39.5
11.5	40.5
11.5	41.5
11.5	42.5
11.5	43.5
11.5	44.5
11.5	45.5
11.5	46.5
11.5	47.5
11.5	48.5
11.5	49.5
11.5	50.5
11.5	51.5
11.5	52.5
11.5	53.5
11.5	54.5
11.5	55.5
11.5	56.5
11.5	58.5
12.5	26.5
12.5	27.5
12.5	28.5
12.5	31.5
12.5	32.5
12.5	33.5
12.5	34.5
12.5	35.5
12.5	36.5
12.5	37.5
12.5	38.5
12.5	39.5
12.5	40.5
12.5	41.5
12.5	42.5
12.5	43.5
12.5	44.5
12.5	45.5
12.5	46.5
12.5	47.5
12.5	48.5
12.5	49.5
12.5	50.5
12.5	51.5
12.5	52.5
12.5	53.5
12.5	54.5
12.5	55.5
12.5	56.5
12.5	59.5
13.5	25.5
13.5	26.5
13.5	27.5
13.5	28.5
13.5	30.5
13.5	31.5
13.5	32.5
13.5	33.5
13.5	34.5
13.5	35.5
13.5	36.5
13.5	37.5
