B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,T-cells
0.14167553,0.19392306,0.0024518478,0.020880848,0.2308389,0.00012559272,0.05724149,0.35286272
0.006102874,0.15231603,0.41212654,0.10687761,0.10401289,0.0005015586,0.16507733,0.05298521
0.35140067,0.29452443,0.0004994485,0.11470341,0.07993604,0.0013946303,0.10705555,0.05048581
0.43140978,0.087635145,0.00078449235,0.0091178315,0.12879358,0.00013349162,0.0035441783,0.33858147
0.0002477555,0.43508604,0.43693432,0.02160658,0.0016563097,0.00023891378,0.014934075,0.08929599
2.1220016e-05,0.08575414,0.85136044,0.009483313,0.00269517,0.011127829,0.011691067,0.027866822
0.25909755,0.20923588,0.0016205567,0.046641342,0.16061388,0.018041754,0.027757023,0.27699205
0.07274621,0.0047517847,0.19089241,0.12617117,0.1396073,0.34615415,0.013623696,0.106053255
0.0071976194,0.04153048,0.4379779,0.11420603,0.13906376,0.023456557,0.17543009,0.06113755
0.11690898,0.228914,0.0070826216,0.040084984,0.24196243,0.024886798,0.06198602,0.27817416
0.009322681,0.0005071423,0.14840505,0.002661547,0.0049016112,0.63777703,0.1469123,0.04951268
0.119963124,0.05023171,0.014368192,0.008516834,0.23928125,0.25109544,0.18649335,0.13005003
0.22277695,0.000716664,0.304388,0.29740572,0.009949311,0.07075286,0.092994645,0.0010158755
0.005308507,0.021708637,0.45601803,0.0031525486,0.008040219,0.38314408,0.11557064,0.007057372
0.110890456,0.1108859,0.08024716,0.060205415,0.23330516,0.00047058042,0.17134556,0.23264976
0.12923813,0.124260604,0.0020999946,0.3444224,8.0898026e-05,0.000118882264,0.39223093,0.0075481613
0.12877855,0.22186682,0.0066620694,0.3203345,0.08134153,0.057187248,0.15176773,0.032061618
0.040141977,0.02519018,0.534642,0.14734358,0.13104925,0.07434493,0.004797586,0.042490628
0.21490836,0.39147043,0.00023456887,0.21519727,0.05305156,0.0057822447,0.08714327,0.032212246
0.19743466,0.07372388,0.06133656,0.22387816,0.12144838,0.03966102,0.18610293,0.09641437
7.732717e-05,0.3584981,0.61272204,0.00133105,0.0003854686,0.00047671553,0.010032821,0.016476473
0.30307883,0.118802145,0.050691295,0.23888937,0.047847494,0.008073827,0.04755328,0.18506375
0.0003862,0.06269359,0.76269424,0.0035140412,0.00074433215,0.1622094,0.0024874667,0.00527073
0.105266295,0.0031677203,0.5311519,0.007282268,0.00026322625,0.26387456,0.04014238,0.048851665
0.17696114,0.095596895,0.059562273,0.1522266,0.09585817,0.015046614,0.16902706,0.23572126
0.17750444,0.37322748,0.023146354,0.088825256,0.030886462,0.024194948,0.15377349,0.12844162
0.0003936702,0.43129933,0.51479757,0.008572233,0.02636697,0.0025376868,0.0045055863,0.011526919
0.25392544,0.16807726,0.017848628,0.0655619,0.14688618,0.042034272,0.035498172,0.2701682
0.27884743,0.10620907,0.0031817174,0.117806286,0.2053783,0.008727111,0.022891669,0.25695848
0.15355755,0.08839047,0.22832897,0.09597086,0.2346176,0.11102986,0.0057706865,0.08233403
0.082604975,0.21700941,0.0038370346,0.013021356,0.328474,0.0013838954,0.015970021,0.3376993
