B cells,Dendritic cells,Endothelial cells,Epithelial cells,Fibroblasts,Monocytes and Macrophages,NK cells,PCs,PVL,T cells CD4,T cells CD8
0.000100078025,0.004417026,0.0007322187,0.8038652,7.891854e-05,0.16524182,0.020664765,1.0736593e-05,0.0040070987,8.10114e-05,0.0008010574
0.34030616,0.051482875,0.12886693,2.1113723e-05,0.05286176,0.22283718,0.019259438,0.11942341,0.0013431166,0.052486278,0.011111761
0.0007917044,0.058986537,0.095950164,0.20864838,0.051697426,0.00050964224,0.1015336,0.41510373,0.02811392,0.0002787409,0.038386174
0.004974988,0.15288791,0.18255404,9.204699e-10,0.083097726,0.5224582,0.0009996004,0.0075633223,0.029471911,0.015927266,6.492762e-05
0.0030679107,0.15103492,0.098685116,9.11688e-07,0.07799505,0.044948943,0.028853975,0.22038761,0.025110496,0.17573941,0.17417568
0.037736923,0.048150223,0.24024318,0.00013367372,0.037081234,0.0013780063,0.016243886,0.08033993,0.0058724503,0.026472734,0.5063478
0.0006953519,0.13354954,0.062056605,1.649198e-05,0.03203668,0.18346752,0.10271426,0.24905139,0.030548139,0.0794742,0.12638982
0.046086382,0.13080882,0.073640704,9.4476e-07,0.05140266,0.02066695,0.0010907582,0.42840797,0.008387305,0.23294187,0.006565609
0.22402412,0.055545762,0.16424137,0.0057631405,0.0046590706,0.0023820263,0.009088589,0.04539893,0.004453528,0.073214434,0.41122898
0.15662563,0.03958178,0.12509885,0.0011548883,0.14721398,0.008472052,0.099154055,0.2793883,0.06100738,0.06297846,0.019324604
0.0067491373,0.0010586397,0.0051428527,0.9272548,0.015772792,0.00012026384,0.0003863436,1.1975199e-05,0.042098742,0.0011460115,0.00025848634
0.00023906823,0.00048368992,0.00061864936,0.72646475,0.0016986396,1.3124443e-05,0.0026579336,3.4730435e-06,0.26779237,1.5893556e-05,1.2423221e-05
0.00035631994,0.004946367,0.010554054,0.7564057,4.825175e-05,0.00018289292,0.02118041,8.985722e-05,0.1987647,0.00081769377,0.006653701
0.03079734,0.005377441,0.025074447,3.404517e-05,0.34222707,0.22548795,0.06795471,0.04657839,0.12469323,0.11752509,0.014250309
0.03085598,0.26560587,0.11306646,0.22514886,0.08778053,0.10952423,0.03246731,0.012161514,0.066645846,0.029051235,0.027692193
0.08796321,0.08840643,0.06578921,3.3986342e-07,0.041490667,0.012698777,0.0098952595,0.024735566,0.00038647733,0.11711829,0.55151576
0.078210585,0.0008463019,0.02677312,0.6070057,0.018086348,6.232793e-05,0.073934086,1.8335963e-09,0.050513163,0.09997786,0.04459045
0.0631367,0.019928455,0.12953176,0.044475894,0.07043428,0.109340206,0.031141363,0.11938184,0.0073738797,0.3630014,0.042254217
0.1723943,0.1618426,0.15106493,0.0062658275,0.018085383,0.0126923835,0.007815453,0.09292083,0.00325919,0.053227432,0.32043168
0.24457116,0.03435583,0.050411504,4.3475066e-07,0.04232059,0.22637767,0.09668366,0.10763651,0.03525676,0.09862315,0.06376274
0.0012205784,0.14634952,0.1105537,0.00021553569,0.12789997,0.08217265,0.14496161,0.178364,0.009483803,0.11323057,0.08554806
0.41351354,0.041584104,0.022148807,0.0053727897,0.0032990547,0.0014701134,0.038421523,5.823029e-05,0.0138407815,0.03412343,0.42616767
0.0038131438,0.22295132,0.0017568622,8.021382e-08,0.02616648,0.5111577,0.046338394,0.17259708,0.0049374797,0.010250243,3.1230145e-05
0.13218394,0.11328284,0.08506924,7.993485e-05,0.04891368,0.1864055,0.07339153,0.1532187,0.0017949445,0.185007,0.020652667
3.7137317e-05,0.00018015955,0.0022762406,0.9614197,4.0726572e-06,0.0037485335,0.002620961,5.4975303e-06,0.029297085,5.7192597e-07,0.0004100683
0.000305106,0.0010125383,0.0028894872,0.8326292,0.00016745205,0.00025479184,0.086269915,0.021294089,0.0190045,4.0566824e-06,0.03616882
0.017165368,0.10757222,0.20068073,3.7810572e-08,0.1823561,0.0038109422,0.0044984906,0.027246509,0.09681355,0.3594677,0.00038833663
0.009078395,0.0049240263,0.0025932363,0.8671237,0.00015532004,0.0008255683,0.09217423,0.0038681289,0.018623475,3.3351138e-05,0.0006005842
9.253895e-05,0.0026544384,8.498654e-05,0.63417524,4.2309584e-05,0.348488,0.006653569,4.1240037e-05,0.0077344254,3.4136146e-06,2.9814117e-05
0.003078808,0.010317098,0.116353184,0.026371617,0.029605586,0.0959813,0.0032684202,0.21561135,0.027231146,0.32137156,0.15080991
0.00013834909,0.00054657314,0.00030327143,0.3235183,6.225673e-05,0.2110667,0.18566215,0.00027127165,0.0040327795,0.0015862917,0.27281213
0.06953758,0.4624347,0.006415739,1.5781436e-07,0.011820473,0.047871713,0.009435041,0.14248185,0.008153895,0.24174052,0.00010830906
0.038764697,0.0044937553,1.4492727e-05,0.62273854,0.0011773199,0.007420509,0.23222895,3.7869956e-06,0.09296591,0.00012276287,6.936566e-05
0.03816363,0.074943535,0.054371215,0.59718823,0.00023634871,0.003515861,0.051831357,0.00013555295,0.06549009,0.0304877,0.0836365
0.00072542427,0.001035215,0.00022503342,0.6669835,0.00016569761,0.034144863,0.001224274,0.0036697004,0.2618857,0.025846485,0.0040940517
0.0014626591,0.16259399,0.40467,0.0002424462,0.018310577,0.08421024,0.041143376,0.11433077,0.06343568,0.05761296,0.051987253
0.17572656,0.15218179,0.23127186,0.064890854,0.032702975,0.23652935,0.02290151,0.0055436715,0.028334606,0.03887383,0.011042953
0.006553526,0.022110928,0.017791953,0.0005388776,0.07952626,0.040407315,0.0138871875,0.18208793,0.0034493792,0.29576904,0.33787766
0.20946492,0.028078262,0.025787512,7.5762044e-05,0.13757558,0.018378172,0.003922723,0.18078378,0.003017284,0.28024936,0.11266669
0.0115473075,0.018073417,0.06252927,0.041953072,0.019588545,0.289818,0.091525845,0.28944695,0.11390069,0.06141357,0.00020333033
0.23640735,0.008773541,0.048425153,5.3612166e-06,0.0845914,0.0003057704,0.00040535742,0.0009758839,0.13420968,0.3841567,0.10174383
0.0016582924,0.088558465,0.054914936,1.6388189e-08,0.023774333,0.33539206,0.014842483,0.32337922,0.0018020438,0.15496947,0.00070866896
0.0052325125,0.025528137,0.02875917,0.0012046584,0.18273458,0.113586985,0.06180895,0.0031739536,0.012130739,0.07180451,0.4940358
0.01957102,0.013014462,0.049831837,2.4186952e-06,0.2677986,0.14441417,0.027389258,0.064541,0.15097299,0.26126146,0.001202733
0.0076875445,0.14154819,0.15050381,6.712088e-08,0.0141419545,0.31404945,0.0074357362,0.026782481,0.019220758,0.3175652,0.0010648273
0.00010692263,9.287105e-05,0.0031949133,0.7930493,3.3193464e-06,0.00056517776,0.09748306,2.2698518e-05,0.0036077555,0.0043616784,0.09751233
0.4046644,0.037215374,0.11232268,3.6353122e-06,0.0064568156,0.0011873487,0.0035474754,6.067607e-05,0.0010999237,0.008494679,0.42494696
0.000456542,0.021434998,0.007462839,0.32926184,0.09707804,0.00013268758,0.020333784,0.0036106282,0.25605077,0.21855664,0.045621242
0.073544465,0.036143526,0.02628067,1.9450079e-06,0.04286802,0.27664673,0.076101206,0.101051554,0.116058215,0.21634986,0.034953803
0.0039070896,0.00028098506,0.00226465,0.14083211,0.007518813,0.058293123,0.4118682,0.1426216,0.2313891,0.0008621503,0.00016210105
0.03594236,0.014555622,0.029222861,3.128455e-05,0.32606512,0.03032712,0.02903234,0.0568074,0.05385469,0.3285038,0.09565746
0.0032920148,0.0027261772,0.06391369,0.47380066,0.0007213279,0.015306067,0.015875721,0.0014989487,0.013552995,0.11189544,0.29741696
0.0013822673,0.024062421,0.13940465,0.012938206,0.11105651,0.0029818087,0.19348156,0.101572074,0.07575173,0.32546335,0.011905402
0.07206541,0.1190035,0.0006757226,0.035630275,0.006056417,0.0039012216,0.0077087604,0.20564099,0.04582282,0.020149745,0.4833451
0.22129156,0.121603966,0.23234525,0.00019064415,0.14964187,0.018279888,0.01833397,0.032346945,0.002342703,0.081165746,0.122457474
0.17157643,0.015565268,0.1612426,0.006534232,0.08197628,0.0367304,0.23084375,0.013092997,0.07628086,0.008970351,0.1971869
0.14608897,0.09142985,0.013592215,0.00854928,0.04050364,0.14048979,0.004524199,0.28126267,0.015864132,0.033503756,0.22419156
0.028231302,0.10466804,0.00049331324,3.7590578e-08,0.008329031,0.5126337,0.16028625,0.11425121,0.008086892,0.06286025,0.00016000692
0.16606025,0.03085161,0.13035569,0.06363098,0.00649598,0.10249445,0.021803701,0.0016675083,0.053694934,0.035263836,0.38768107
0.101425365,0.0537249,0.059224084,2.3479013e-05,0.17775291,0.016333079,0.04076323,0.42674392,0.012093389,0.094208874,0.017706782
0.005076985,0.01663307,0.23099232,0.04104033,0.20739233,0.0024263563,0.021499187,0.28424957,0.08123189,0.00082917337,0.10862881
3.6265716e-05,0.0012374668,0.03256646,0.86011684,4.3893862e-05,0.0004506443,0.08988612,0.00023815923,0.014551305,8.132821e-06,0.0008647318
0.007699161,0.007462226,0.02279845,0.52868754,0.040223602,0.000931383,0.0016579649,0.023422375,0.36348128,0.0034261714,0.0002098392
0.0018800353,0.14996204,0.124605,0.064624935,0.06943068,0.0017068372,0.2383649,0.016307395,0.09225452,0.09647164,0.14439201
0.10486326,0.09078846,0.056770522,0.2826299,0.022052366,0.005064388,0.16379707,0.0018490844,0.07801029,0.0051378994,0.18903674
0.11436073,0.06461528,0.25097197,1.04409755e-05,0.19159879,0.008923201,0.13134159,0.023476223,0.1126525,0.052621476,0.04942778
0.025743568,0.02417017,0.16405812,0.17172645,0.09024995,0.0034899544,0.09998504,0.14705363,0.14634973,0.09799561,0.029177802
0.023467876,0.076812394,0.035907097,0.04399361,0.07303486,0.016602483,0.23146638,0.0021843598,0.029052366,0.25991693,0.20756158
0.00073765614,0.16263013,0.0029770313,8.412261e-09,0.08551586,0.23070443,0.15056875,0.23784934,0.008900191,0.1196363,0.00048033256
0.0009957086,0.10745317,0.025465388,4.815363e-07,0.09801771,0.21135941,0.018045817,0.40833753,0.030652972,0.09415944,0.005512353
0.010494813,0.01915242,0.11823502,0.14421457,0.010413322,0.0026121181,0.10884114,0.26076734,0.105240986,0.17565131,0.04437695
0.0018521836,0.040475696,0.03595032,0.00011347602,0.02946073,0.12731357,0.036350936,0.35832274,0.016623348,0.18792488,0.16561212
0.13810426,0.029190322,0.09419907,0.21830761,0.104602575,0.00040746958,0.04816875,0.04164324,0.008530797,0.011637902,0.30520797
0.24737509,0.047617864,0.22308107,0.11510905,0.029756173,8.586956e-05,0.15735893,0.0026753112,0.048256963,0.10944741,0.019236226
0.001829235,0.023330908,0.060363445,0.32221162,0.06835435,0.123886466,0.04376376,0.12615938,0.19425735,0.035376202,0.000467243
3.6191739e-06,1.508792e-05,0.00029914427,0.9870914,4.6053788e-06,1.0966464e-06,0.003953987,5.6530087e-07,0.008625827,7.273378e-07,3.933036e-06
0.0052345726,0.16161214,0.12637839,0.0033147153,0.23646006,0.01803665,0.04293765,0.2705391,0.13406938,0.0006364496,0.00078089716
0.00058527465,0.002737731,0.20541899,0.5086334,0.00037013323,0.0012839497,0.031934127,1.9708501e-05,0.011533292,0.000707479,0.23677598
0.00110313,0.2594772,0.010465386,0.00019152014,0.2853306,0.11147357,0.034012746,0.08712674,0.11080006,0.09953037,0.0004887192
4.146107e-05,0.038798697,0.07112905,0.59558463,0.00048500736,0.26142707,0.0029054028,0.0015634446,0.022022769,0.003707117,0.0023353368
0.0078267045,0.0718355,0.07040375,1.01660125e-05,0.09462164,0.11162621,0.25049266,0.03957795,0.14265952,0.016565647,0.19438024
5.0715214e-05,0.0022881152,0.045076422,0.37438032,1.7636745e-05,0.0042688595,0.21036896,0.00012541156,0.002703473,0.0029964573,0.35772365
0.00023006741,0.008516722,0.072514765,0.7210648,0.000111380374,0.00017264816,0.14670186,0.0013685513,0.022594854,0.0005777731,0.026146585
0.2016013,0.13221148,0.2739439,4.199832e-06,0.07317923,0.002327413,0.016779622,0.035593648,0.028463589,0.22089887,0.014996782
0.41703242,0.05422678,0.011459212,0.27876225,0.00011140037,6.933189e-05,0.13770919,1.4818853e-06,0.06980755,0.024101608,0.006718812
0.023366803,0.0011465381,0.0437401,0.01922429,0.0039491146,0.7937887,0.053988725,0.02087615,0.03761974,0.0021264853,0.00017340777
0.3604176,0.08030536,0.20869498,5.277569e-06,0.047117855,0.0061058705,0.0094046015,0.019810742,0.018115051,0.10568988,0.14433277
0.010525271,0.028363187,0.068941474,0.0014109127,0.11924958,0.03135481,0.10496579,0.31748354,0.065119356,0.22010458,0.032481506
0.005690184,0.048906192,0.008019419,0.37302783,0.0007105027,4.0758398e-05,0.17807223,6.54524e-05,0.056387566,0.12638213,0.20269775
0.02385714,0.077519156,0.18943474,0.00026527405,0.05794678,0.0036631543,0.0537697,0.2636722,0.014042536,0.267487,0.048342362
