,GC,PGC,M.TC,OSNs,EPL.IN
17x17,6.47E-01,1.31E-01,1.00E-01,1.05E-01,1.67E-02
18x17,5.79E-01,1.52E-01,1.25E-01,1.21E-01,2.42E-02
20x17,5.57E-01,1.53E-01,1.31E-01,1.31E-01,2.74E-02
19x17,5.80E-01,1.46E-01,1.20E-01,1.28E-01,2.49E-02
22x17,5.79E-01,1.52E-01,1.27E-01,1.18E-01,2.39E-02
21x17,5.91E-01,1.48E-01,1.21E-01,1.16E-01,2.28E-02
24x17,6.01E-01,1.45E-01,1.18E-01,1.14E-01,2.15E-02
23x17,6.48E-01,1.31E-01,1.00E-01,1.04E-01,1.66E-02
25x17,5.49E-01,1.59E-01,1.34E-01,1.29E-01,2.97E-02
26x17,5.61E-01,1.55E-01,1.31E-01,1.26E-01,2.67E-02
27x17,5.65E-01,1.51E-01,1.29E-01,1.29E-01,2.63E-02
28x17,5.49E-01,1.55E-01,1.34E-01,1.33E-01,2.86E-02
10x17,5.67E-01,1.52E-01,1.29E-01,1.26E-01,2.61E-02
9x17,5.92E-01,1.46E-01,1.20E-01,1.19E-01,2.28E-02
12x17,5.61E-01,1.55E-01,1.27E-01,1.28E-01,2.81E-02
11x17,6.53E-01,8.73E-02,8.05E-02,1.65E-01,1.45E-02
13x17,5.77E-01,1.53E-01,1.27E-01,1.19E-01,2.44E-02
14x17,5.74E-01,1.52E-01,1.27E-01,1.21E-01,2.47E-02
15x17,6.46E-01,1.31E-01,1.00E-01,1.05E-01,1.68E-02
16x17,5.90E-01,1.47E-01,1.17E-01,1.21E-01,2.42E-02
15x20,6.17E-01,1.41E-01,1.11E-01,1.11E-01,2.00E-02
15x19,6.41E-01,1.33E-01,1.03E-01,1.06E-01,1.73E-02
15x18,6.37E-01,1.35E-01,1.03E-01,1.07E-01,1.77E-02
16x18,6.40E-01,1.33E-01,1.03E-01,1.06E-01,1.74E-02
16x20,6.38E-01,1.34E-01,1.03E-01,1.07E-01,1.76E-02
16x19,6.34E-01,1.35E-01,1.05E-01,1.08E-01,1.80E-02
13x18,5.68E-01,1.54E-01,1.32E-01,1.21E-01,2.54E-02
14x18,6.01E-01,1.45E-01,1.19E-01,1.14E-01,2.15E-02
13x20,5.85E-01,1.49E-01,1.23E-01,1.19E-01,2.34E-02
14x19,6.03E-01,1.45E-01,1.18E-01,1.13E-01,2.12E-02
14x20,6.27E-01,1.38E-01,1.08E-01,1.09E-01,1.88E-02
13x19,5.79E-01,1.51E-01,1.26E-01,1.20E-01,2.43E-02
14x21,6.43E-01,1.32E-01,1.01E-01,1.06E-01,1.71E-02
14x22,5.87E-01,1.50E-01,1.18E-01,1.20E-01,2.47E-02
13x22,6.30E-01,1.36E-01,1.06E-01,1.09E-01,1.84E-02
13x21,6.20E-01,1.40E-01,1.11E-01,1.10E-01,1.94E-02
16x21,5.98E-01,1.45E-01,1.15E-01,1.19E-01,2.33E-02
15x21,6.22E-01,1.39E-01,1.09E-01,1.11E-01,1.94E-02
15x22,6.27E-01,1.37E-01,1.08E-01,1.10E-01,1.88E-02
16x22,6.26E-01,1.37E-01,1.08E-01,1.10E-01,1.89E-02
12x19,5.62E-01,1.57E-01,1.29E-01,1.25E-01,2.76E-02
12x18,5.79E-01,1.51E-01,1.24E-01,1.21E-01,2.43E-02
12x20,5.72E-01,1.53E-01,1.29E-01,1.21E-01,2.51E-02
11x19,5.69E-01,1.53E-01,1.28E-01,1.25E-01,2.57E-02
11x18,5.68E-01,1.52E-01,1.29E-01,1.26E-01,2.59E-02
11x20,5.83E-01,1.52E-01,1.24E-01,1.18E-01,2.38E-02
10x20,5.77E-01,1.51E-01,1.25E-01,1.22E-01,2.44E-02
10x19,5.62E-01,1.54E-01,1.31E-01,1.27E-01,2.67E-02
9x19,5.74E-01,1.50E-01,1.26E-01,1.24E-01,2.50E-02
9x20,5.86E-01,1.49E-01,1.21E-01,1.19E-01,2.38E-02
10x18,5.79E-01,1.49E-01,1.24E-01,1.23E-01,2.45E-02
9x18,5.63E-01,1.53E-01,1.31E-01,1.28E-01,2.66E-02
9x21,5.61E-01,1.56E-01,1.31E-01,1.25E-01,2.68E-02
10x21,5.85E-01,1.50E-01,1.23E-01,1.18E-01,2.34E-02
10x22,5.77E-01,1.53E-01,1.28E-01,1.18E-01,2.42E-02
9x22,5.59E-01,1.62E-01,1.28E-01,1.23E-01,2.76E-02
12x22,6.27E-01,1.37E-01,1.08E-01,1.10E-01,1.88E-02
12x21,5.78E-01,1.49E-01,1.22E-01,1.25E-01,2.52E-02
11x21,5.54E-01,1.58E-01,1.30E-01,1.29E-01,2.90E-02
11x22,5.77E-01,1.52E-01,1.26E-01,1.20E-01,2.44E-02
11x24,6.33E-01,1.36E-01,1.07E-01,1.07E-01,1.79E-02
12x24,6.00E-01,1.45E-01,1.14E-01,1.19E-01,2.32E-02
12x23,6.23E-01,1.38E-01,1.06E-01,1.13E-01,2.01E-02
11x23,5.56E-01,1.57E-01,1.32E-01,1.27E-01,2.86E-02
9x24,5.81E-01,1.52E-01,1.25E-01,1.18E-01,2.39E-02
9x23,5.88E-01,1.50E-01,1.22E-01,1.16E-01,2.30E-02
10x24,5.69E-01,1.54E-01,1.26E-01,1.24E-01,2.67E-02
10x23,5.55E-01,1.55E-01,1.31E-01,1.29E-01,2.91E-02
9x25,5.71E-01,1.53E-01,1.24E-01,1.25E-01,2.67E-02
10x25,5.76E-01,1.51E-01,1.26E-01,1.21E-01,2.55E-02
12x25,6.46E-01,1.32E-01,1.01E-01,1.05E-01,1.68E-02
11x25,5.74E-01,1.51E-01,1.24E-01,1.24E-01,2.62E-02
16x23,6.38E-01,1.07E-01,8.68E-02,1.50E-01,1.90E-02
16x24,6.35E-01,1.35E-01,1.04E-01,1.08E-01,1.79E-02
15x23,6.00E-01,1.45E-01,1.13E-01,1.19E-01,2.32E-02
15x24,6.29E-01,1.36E-01,1.06E-01,1.10E-01,1.86E-02
13x24,6.29E-01,1.37E-01,1.07E-01,1.09E-01,1.85E-02
13x23,6.22E-01,1.38E-01,1.08E-01,1.12E-01,1.99E-02
14x24,6.04E-01,1.44E-01,1.15E-01,1.15E-01,2.12E-02
14x23,5.92E-01,1.47E-01,1.16E-01,1.20E-01,2.42E-02
13x25,6.26E-01,1.37E-01,1.08E-01,1.09E-01,1.88E-02
14x25,6.42E-01,1.33E-01,1.02E-01,1.06E-01,1.73E-02
15x25,5.71E-01,1.51E-01,1.25E-01,1.27E-01,2.69E-02
16x25,6.22E-01,1.39E-01,1.10E-01,1.11E-01,1.93E-02
29x18,5.55E-01,1.54E-01,1.33E-01,1.31E-01,2.78E-02
29x19,5.37E-01,1.56E-01,1.39E-01,1.37E-01,3.05E-02
29x20,5.41E-01,1.59E-01,1.33E-01,1.35E-01,3.23E-02
29x21,5.32E-01,1.59E-01,1.38E-01,1.38E-01,3.29E-02
29x22,5.53E-01,1.56E-01,1.33E-01,1.30E-01,2.78E-02
27x20,5.73E-01,1.54E-01,1.26E-01,1.23E-01,2.48E-02
27x19,5.40E-01,1.59E-01,1.36E-01,1.34E-01,3.12E-02
27x18,5.39E-01,1.57E-01,1.38E-01,1.36E-01,3.00E-02
28x18,5.31E-01,1.57E-01,1.39E-01,1.42E-01,3.14E-02
28x19,5.61E-01,1.51E-01,1.30E-01,1.31E-01,2.68E-02
28x20,5.37E-01,1.56E-01,1.38E-01,1.39E-01,3.04E-02
25x19,5.60E-01,1.56E-01,1.32E-01,1.25E-01,2.63E-02
25x20,5.68E-01,1.54E-01,1.30E-01,1.23E-01,2.54E-02
26x20,5.63E-01,1.56E-01,1.32E-01,1.23E-01,2.61E-02
26x18,5.83E-01,1.52E-01,1.22E-01,1.19E-01,2.37E-02
25x18,5.62E-01,1.55E-01,1.32E-01,1.25E-01,2.64E-02
26x19,5.84E-01,1.51E-01,1.21E-01,1.20E-01,2.36E-02
26x22,5.71E-01,1.53E-01,1.32E-01,1.19E-01,2.50E-02
25x22,6.48E-01,1.31E-01,1.00E-01,1.04E-01,1.66E-02
26x21,5.78E-01,1.53E-01,1.25E-01,1.20E-01,2.42E-02
25x21,5.86E-01,1.50E-01,1.25E-01,1.17E-01,2.31E-02
28x21,5.65E-01,1.55E-01,1.28E-01,1.25E-01,2.62E-02
27x21,5.74E-01,1.52E-01,1.27E-01,1.23E-01,2.49E-02
