EPL-IN,GC,M/TC,OSNs,PGC
0.021944208,0.6369565,0.00090094435,0.2101027,0.1300956
0.049877483,0.0006027945,0.33533284,0.38289565,0.2312912
0.020876464,0.0007911196,0.0028295747,0.8944098,0.081093036
0.1465785,0.00012429428,0.0021902623,0.74170816,0.109398805
0.035353597,0.23721538,0.43915415,0.19928297,0.08899388
0.016868234,0.14384913,0.35072798,0.3930507,0.095503956
0.016169664,0.19677249,0.5236181,0.21575098,0.047688775
0.013769943,0.62472284,0.1739292,0.1704803,0.01709772
0.15287068,0.00040406466,0.43631685,0.25856164,0.15184672
0.0012060785,1.3929615e-06,0.22518691,0.5252452,0.24836044
0.036001503,1.0379553e-06,0.0020700733,0.88572294,0.0762045
0.0001483397,3.9512483e-06,0.00010854272,0.97936475,0.020374423
0.0016704267,3.1488282e-05,0.00013311634,0.9522037,0.045961294
0.17413431,0.24192774,0.0001973845,0.5216553,0.062085215
0.0005848111,3.2229732e-06,0.029965626,0.83930326,0.13014306
0.00040791585,0.028358558,0.0017201661,0.43080628,0.5387071
0.00919524,0.00045189844,0.41811132,0.37550175,0.1967398
0.0006873828,0.46643138,0.3108552,0.17184743,0.0501786
0.0022817785,0.92810464,0.0066260137,0.0555827,0.0074048378
0.0011022844,0.78243625,0.0011596921,0.20090304,0.014398719
0.00033425674,0.8468414,0.020658486,0.13210158,6.427352e-05
0.00029275758,0.9756257,0.015263013,0.00870423,0.00011430768
0.010782174,0.9492982,0.013050255,0.02642116,0.00044824672
0.0005014295,0.9602157,0.0011229718,0.036747072,0.0014128877
0.0038531988,0.96273565,0.029159838,0.0009231966,0.00332809
0.011371238,0.9795456,0.0050553624,0.0032903044,0.000737639
0.0022921774,0.002732138,0.51610565,0.35285196,0.12601817
6.5429325e-05,0.44164592,0.40296736,0.15177709,0.003544221
0.0033481182,0.3032514,0.47600567,0.078101486,0.13929331
0.00039818336,0.23927808,0.6627393,0.09588219,0.0017023016
0.00088807923,0.867265,0.11534123,0.016450947,5.4698372e-05
0.00040433218,0.05614706,0.6711977,0.26359552,0.008655328
0.0025960046,0.9891534,0.006134122,0.0020914322,2.5080752e-05
0.06874569,0.9158627,0.00035842485,0.015017974,1.520486e-05
0.15674222,0.7900425,0.0013566266,0.05183696,2.1670347e-05
0.058072574,0.7250957,0.20309272,0.013616779,0.00012222954
0.040942878,0.8635683,0.09046854,0.00023591283,0.004784347
0.0023444463,0.8296136,0.0052472,0.16204435,0.0007504198
0.008910367,0.9891945,0.0013565405,0.00050067605,3.801264e-05
0.046970367,0.6608548,0.27265245,0.017756533,0.0017659204
0.0018793739,6.9802576e-05,0.5998148,0.25569427,0.14254175
0.015267944,5.792586e-06,0.20400983,0.5363667,0.24434975
0.07314523,0.0028447632,0.6480832,0.22585917,0.05006755
0.03168445,3.8460857e-06,0.12178514,0.7192849,0.12724169
0.008115451,1.1052654e-06,0.013148415,0.7551598,0.22357523
0.075583786,4.9723927e-05,0.5169119,0.19372998,0.21372458
0.09601566,0.00018271175,0.51625645,0.2469882,0.14055698
0.12152512,2.0233676e-06,0.05492301,0.76805216,0.055497717
0.07989004,1.0338744e-05,0.010481715,0.6027555,0.3068624
0.23442452,6.866383e-05,0.09374315,0.6095382,0.062225465
0.012048541,0.12613544,0.015168989,0.6596575,0.1869896
0.092599295,1.7293838e-05,0.04718826,0.80241823,0.057776958
0.22646494,0.00018646309,0.19654202,0.16117658,0.41562998
0.097626895,3.6808895e-05,0.5588621,0.12431916,0.21915504
