"","EPL-IN","GC","M/TC","OSNs","PGC"
"16.918x16.996",0.198166270315237,0.428231424257356,0,0,0.373602305427407
"18.017x17.034",0.274437574017792,0,0.163794242479729,0,0.561768183502479
"20.075x17.059",0.179639447089882,0.0996931880972577,0.268222184596666,0,0.452445180216195
"18.979x17.065",0.216222373548811,0,0.285959728925874,0.0590976228518482,0.438720274673467
"21.937x16.967",0.228567144025647,0,0.40271488911266,0,0.368717966861693
"20.899x17.015",0.323713966089095,0,0.17593024256647,0,0.500355791344434
"24.121x17.055",0.390082823810414,0,0.271564049385679,0,0.338353126803907
"23.122x17.085",0.142223496612479,0.462305766129525,0,0,0.395470737257996
"25.068x16.996",0.223612671602305,0,0.44023156251718,0,0.336155765880515
"26.035x16.991",0.243527946282712,0,0.209894434368064,0,0.546577619349224
"26.987x16.997",0.215582774447895,0.0944082995664595,0.27205234048819,0,0.417956585497456
"27.948x16.969",0.25395563767904,0.0231292403570919,0.326933375111007,0,0.395981746852861
"9.868x17.084",0.362450795836421,0.0300606557999105,0.333811744950843,0,0.273676803412825
"9.004x17.028",0.46267353346007,0,0.206682016268495,0,0.330644450271435
"12.074x17.04",0.30367578997419,0.00242699989912292,0.273009842779055,0,0.420887367347632
"10.908x16.974",0,0,0,1,0
"13.045x17.149",0.144535972472208,0,0.305349350829728,0,0.550114676698064
"14.014x17.063",0.295643390573338,0.0255626075990336,0.27991090436458,0,0.398883097463048
"15.011x17.051",0.21808188938927,0.370197970373018,0,0,0.411720140237712
"16.003x17.048",0.27234042400462,0.277399385384059,0,0,0.450260190611321
"15.076x19.996",0.428923428887043,0.175416049762753,0.0286270240994824,0,0.367033497250722
"15.063x19.016",0.212676199922165,0.363285257168713,0,0,0.424038542909122
"15.019x18.024",0.207167934466468,0.382627223680239,0,0,0.410204841853294
"15.932x18.0",0.288711331400513,0.30652580317886,0,0,0.404762865420627
"15.893x20.047",0.14303781159755,0.363280580572044,0,0,0.493681607830406
"15.936x19.021",0.234906815942166,0.290821580377228,0,0,0.474271603680606
"12.973x18.014",0.22081919655649,0,0.493986723765479,0,0.285194079678031
"14.07x18.032",0.232099841602767,0.0639279219439012,0.270420714210924,0,0.433551522242407
"13.059x20.044",0.268442697875005,0.156036191663527,0.18992768298553,0,0.385593427475937
"14.013x19.054",0.283909676138004,0.0807290840172885,0.262427933567571,0,0.372933306277137
"14.004x20.024",0.227531523939176,0.338150718373143,0,0,0.434317757687681
"13.061x19.072",0.257151494410908,0,0.338089695009027,0,0.404758810580065
"13.969x21.05",0.109274497367734,0.428437180814676,0,0,0.462288321817591
"14.069x21.943",0.153194522050175,0.361120833733242,0,0,0.485684644216583
"13.058x22.014",0.173525374693845,0.376313069135496,0,0,0.45016155617066
"13.014x20.919",0.272431633959728,0.245541985569842,0.0542168074984751,0,0.427809572971955
"15.89x21.016",0.235153424952513,0.40769451662457,0,0,0.357152058422917
"15.084x21.071",0.160332056965122,0.246854510993132,0,0,0.592813432041746
"15.051x21.998",0.248594452657811,0.275444408148379,0,0,0.47596113919381
"15.996x22.102",0.209849078871251,0.289737352529929,0,0,0.500413568598819
"12.08x19.06",0.238924797762274,0,0.344147223412637,0,0.416927978825089
"12.121x18.058",0.281442432151221,0,0.117010528252825,0,0.601547039595955
"12.092x20.032",0.269860906390023,0,0.380570142124716,0,0.349568951485261
"10.896x18.992",0.22627750106195,0.0728655130637199,0.254856316103989,0,0.446000669770341
"10.877x17.97",0.420996529035031,0,0.24195063181542,0,0.337052839149549
"10.868x20.032",0.219347913716816,0,0.158796112590743,0,0.621855973692441
"9.959x20.044",0.200844780842813,0.0212572443950275,0.171724865487561,0,0.606173109274599
"9.918x18.981",0.295595761036438,0.00297458917917767,0.23120460366828,0,0.470225046116104
"9.023x19.044",0.38017835418917,0.0432427047750732,0.229325517926481,0,0.347253423109276
"9.018x20.048",0.429005126116372,0,0.306168737465581,0,0.264826136418047
"9.899x17.997",0.350401685017933,0.0626621227149114,0.219956307139435,0,0.366979885127721
"9.049x18.018",0.304593856831424,0.0361536073422843,0.27434456411169,0,0.384907971714602
"9.068x20.979",0.300354492601566,0,0.243474349290585,0,0.456171158107849
"9.906x20.97",0.251202238655543,0,0.157288588003902,0,0.591509173340555
"9.966x21.951",0.325539191151179,0,0.430801810085853,0,0.243658998762968
"9.059x22.014",0.207239121472425,0,0.143800459251312,0,0.648960419276263
"12.131x21.968",0.293033268985535,0.325195317573496,0,0,0.381771413440969
"12.073x21.045",0.356771632362601,0,0.252536687640847,0,0.390691679996552
"10.868x20.971",0.241664913906509,0,0.320188154840211,0,0.43814693125328
"10.903x21.945",0.35588031203331,0,0.198816421305887,0,0.445303266660803
"10.899x23.91",0.276036675452499,0,0.487392184238796,0,0.236571140308705
"12.153x24.01",0.192324911911786,0.346270997088855,0,0,0.461404090999359
"12.115x22.986",0.240100172384794,0.39226498557271,0,0,0.367634842042497
"10.857x22.897",0.272300185361792,0,0.449051081016312,0,0.278648733621896
"9.03x23.949",0.307988693242222,0,0.205828763258227,0,0.486182543499551
"9.056x22.94",0.237832402100084,0,0.090865050818896,0,0.671302547081019
"9.966x23.953",0.300228192406303,0.0435650727829078,0.293114604837461,0,0.363092129973329
"9.999x22.935",0.260078918301386,0,0.345190424906797,0,0.394730656791817
"9.074x24.935",0.318357602206017,0.00478107929037276,0.101578674851137,0,0.575282643652473
"9.951x24.909",0.229613327591926,0,0.365150747357431,0,0.405235925050642
"12.123x25.002",0.172201317748452,0.363761475235739,0,0,0.464037207015808
"10.86x24.947",0.308685990368517,0,0.314776215904655,0,0.376537793726828
"15.949x22.955",0.181985809336984,0.395333168541395,0,0,0.422681022121622
"15.98x23.961",0.201830733990061,0.37386542574803,0,0,0.424303840261909
"15.009x22.966",0.100133929991627,0.355016832482641,0,0,0.544849237525732
"15.073x23.973",0.141369589258956,0.327740513247184,0,0,0.53088989749386
"13.048x23.951",0.268844784937576,0.304340927487181,0,0,0.426814287575243
"13.067x22.915",0.221968531507925,0.282779450382742,0,0,0.495252018109333
"14.05x23.965",0.263228685155533,0.132175919310681,0.10548124431697,0,0.499114151216816
"14.048x22.95",0.265511641858297,0.242978959964563,0,0,0.49150939817714
"13.111x24.919",0.276991291872128,0.280266490576618,0,0,0.442742217551254
"14.085x24.905",0.188616222226566,0.348989537822421,0,0,0.462394239951013
"15.033x24.886",0.147793249002764,0.177295272819027,0.133652216816897,0,0.541259261361311
"15.953x24.959",0.304212835987335,0.27040278972363,0,0,0.425384374289036
"29.058x18.046",0.235250558725184,0.0482400497134134,0.313301632463163,0,0.40320775909824
"29.077x18.972",0.25502214163206,0.0262424252792071,0.381873265725256,0.0570884706444117,0.279773696719065
"29.042x20.088",0.272157857531522,0.0214119161606283,0.305548659723668,0,0.400881566584182
"28.971x20.971",0.281148193332173,0.00657010665416298,0.419238994747683,0,0.293042705265982
"28.989x21.969",0.243408606034064,0,0.355432635487405,0,0.401158758478531
"27.011x20.052",0.345587250488856,0,0.0706401833049049,0,0.583772566206239
"26.98x18.983",0.281404396810675,0,0.335147632911938,0,0.383447970277387
"26.993x17.966",0.398669941015819,0,0.376184519888603,0,0.225145539095578
"27.979x17.991",0.275089731765945,0,0.269317653832185,0.160039743433759,0.295552870968111
"28.011x18.987",0.320681042813036,0.0487992077634943,0.251381745353678,0,0.379138004069792
