,GC,PGC,OSNs,M/TC,EPL-IN
17x17,0.79042864,0.0,0.0,0.17471243,0.02789381
18x17,0.12107058,0.22268672,0.033223387,0.40678212,0.2162372
20x17,0.16513844,0.056000035,0.24838777,0.35767803,0.17279574
19x17,0.17733932,0.05570455,0.2580918,0.29772365,0.21114069
22x17,0.33709535,0.0,0.0,0.6392301,0.017491683
21x17,0.27167004,0.22685792,0.0,0.42539865,0.07573056
24x17,0.39171854,0.0,0.0,0.5435326,0.055207703
23x17,0.81598866,0.0,0.0,0.1001092,0.081893995
25x17,0.17614321,0.03922377,0.0,0.7663132,0.018153941
26x17,0.031473655,0.26606286,0.19592424,0.37321064,0.13332868
27x17,0.0711276,0.10675876,0.27620372,0.32133022,0.22457965
28x17,0.097668275,0.12222849,0.24391553,0.32738554,0.2088021
10x17,0.22204033,0.07668832,0.19610827,0.36225554,0.14290759
9x17,0.23009844,0.114331506,0.011491641,0.38428652,0.25979185
12x17,0.09304361,0.30626598,0.056421246,0.3598919,0.18437733
11x17,0.999821,0.0,0.0,0.0,0.0
13x17,0.13077678,0.21784227,0.0,0.60139334,0.04418669
14x17,0.34678304,0.18341017,0.0,0.46295166,0.0
15x17,0.6829481,0.011058216,0.0,0.020576198,0.28537288
16x17,0.6392682,0.0,0.0,0.2821383,0.0740031
15x20,0.42825007,0.012050025,0.0,0.3026426,0.25684813
15x19,0.7937614,0.0,0.0,0.18212879,0.021407152
15x18,0.6550254,0.0,0.0,0.12037188,0.21669845
16x18,0.6477703,0.0,0.0,0.05004384,0.29594663
16x20,0.6807449,0.0,0.0,0.22180201,0.091272414
16x19,0.59179455,0.0,0.0,0.2372109,0.16435635
13x18,0.22321856,0.02009358,0.0,0.7542423,0.0
14x18,0.4600945,0.020002978,0.0,0.51848835,0.0
13x20,0.4360573,0.020158248,0.0,0.42257082,0.12054831
14x19,0.38714948,0.061739743,0.0,0.5155159,0.035583593
14x20,0.645822,0.0,0.0,0.3088895,0.041793063
13x19,0.19396813,0.072135784,0.0,0.4427236,0.2872461
14x21,0.7669405,0.0,0.0,0.17087094,0.05537185
14x22,0.7203098,0.0,0.0,0.1897086,0.08381044
13x22,0.633597,0.0,0.0,0.34785736,0.017118666
13x21,0.5380759,0.0,0.0,0.37692058,0.07614967
16x21,0.66380847,0.0,0.0,0.27282146,0.059655685
15x21,0.55005825,0.06450966,0.0,0.2934498,0.090138406
15x22,0.6001209,0.0,0.0,0.24847488,0.14256275
16x22,0.6193905,0.0,0.0,0.30879676,0.068321794
12x19,0.029512672,0.32827565,0.0,0.6368872,0.0
12x18,0.13242486,0.3334956,0.0,0.32528785,0.20363909
12x20,0.26556146,0.11770795,0.0,0.5499949,0.06631383
11x19,0.17049846,0.109687224,0.17676073,0.3533609,0.1896927
11x18,0.18833186,0.19976167,0.026273925,0.35000262,0.23562995
11x20,0.101582855,0.34401217,0.0,0.34907228,0.20473723
10x20,0.19871064,0.32850498,0.02612241,0.43199107,0.014670955
10x19,0.24648823,0.10320668,0.13526678,0.31980583,0.19523251
9x19,0.15903264,0.088776104,0.18395466,0.36642748,0.20180906
9x20,0.16496542,0.10181858,0.065087825,0.42803493,0.2400932
10x18,0.23939618,0.056537073,0.14670525,0.35180196,0.20555955
9x18,0.263864,0.06038207,0.14137548,0.3456298,0.18874858
9x21,0.07313796,0.16845217,0.01704229,0.4524718,0.2888958
10x21,0.16273126,0.2110918,0.0,0.39519095,0.23011926
10x22,0.22131181,0.17455609,0.0,0.5913696,0.012709131
9x22,0.05046473,0.3374668,0.0,0.35497987,0.25269827
12x22,0.69640166,0.0,0.0,0.17541824,0.12448402
12x21,0.22826092,0.15977876,0.0,0.3466442,0.2617529
11x21,0.20269398,0.26497757,0.0,0.5249493,0.0
11x22,0.38157254,0.0398271,0.0,0.43265894,0.14425331
11x24,0.2701753,0.0,0.0,0.71841526,0.0
12x24,0.6729463,0.0,0.0,0.29637668,0.027393682
