EPL-IN,GC,M/TC,OSNs,PGC
0.150113566,0.417853275,0.159207207,0.089919043,0.18290691
0.14068576,0.223535168,0.247886786,0.187828863,0.200063423
0.089056519,0.281060253,0.238937657,0.261813907,0.129131664
0.091715952,0.242219503,0.249009151,0.279232724,0.137822669
0.079737091,0.261135962,0.358505047,0.126905706,0.173716194
0.140659444,0.25066176,0.272243102,0.13437638,0.202059314
0.137569376,0.288139307,0.299086213,0.108088894,0.16711621
0.145034697,0.430969893,0.145298502,0.1030747,0.175622207
0.081750855,0.207694675,0.375133918,0.157610894,0.177809658
0.14713002,0.164368639,0.250606947,0.240616772,0.197277623
0.075808176,0.247905702,0.258891141,0.282824544,0.134570437
0.083582527,0.241652498,0.286143427,0.258722347,0.129899201
0.130624118,0.295531671,0.230188839,0.235916378,0.107738995
0.18910502,0.220360369,0.23643112,0.209396652,0.144706839
0.10110772,0.278715887,0.246556513,0.21876567,0.154854211
0,0.670957712,0,0.230548643,0.098493645
0.076433982,0.232921307,0.338821998,0.153711112,0.1981116
0.101410427,0.27191755,0.274080137,0.172240145,0.180351741
0.184907552,0.386136095,0.140941504,0.110478218,0.177536632
0.18035611,0.369953381,0.160562233,0.128008365,0.161119911
0.20614305,0.303048363,0.211666871,0.119131023,0.160010693
0.153541687,0.379715013,0.162014485,0.108685151,0.196043664
0.176458021,0.374686374,0.14429286,0.129970659,0.174592086
0.172862252,0.358809464,0.163154863,0.130489553,0.174683868
0.150200966,0.362847874,0.180897074,0.121232435,0.184821651
0.164665238,0.330096504,0.185351918,0.11710872,0.20277762
0.040135694,0.238463842,0.408020282,0.147454532,0.16592565
0.084670032,0.306505575,0.30709026,0.142397056,0.159337076
0.139821561,0.349181233,0.218882269,0.170929769,0.121185168
0.086743772,0.316602182,0.311437481,0.104398135,0.180818431
0.1634912,0.348223494,0.192736123,0.118244672,0.177304512
0.099982385,0.268562113,0.294768047,0.169324959,0.167362496
0.156596399,0.396582518,0.145908747,0.122261072,0.178651264
0.16191468,0.368688552,0.157186176,0.128560298,0.183650293
0.114209428,0.359482798,0.21657762,0.116930012,0.192800142
0.129547036,0.344962258,0.241398083,0.089706348,0.194386276
0.172740626,0.382699132,0.165932003,0.103950429,0.174677809
0.132863415,0.328292428,0.184221063,0.160519461,0.194103633
0.154577947,0.350654788,0.181281664,0.144447977,0.169037624
0.139819202,0.335173367,0.202805586,0.140708176,0.181493668
0.107407398,0.176774912,0.380266137,0.103840079,0.231711473
0.136557447,0.235292911,0.242552667,0.154540222,0.231056753
