GC,PGC,M/TC,OSNs,EPL-IN
1,0,0,0,0.00E+00
0,0.248133895,0.53106327,0.07643645,1.44E-01
0,0,0.42927154,0.39024849,1.80E-01
0,0,0.47015809,0.39021692,1.40E-01
0.37296964,0,0.62703036,0,0.00E+00
0.4124742,0.028449794,0.52536466,0,3.37E-02
0.53156303,0,0.46843697,0,0.00E+00
1,0,0,0,0.00E+00
0,0.06802707,0.93197293,0,0.00E+00
0,0.225830521,0.58969784,0.07579408,1.09E-01
0,0,0.42371612,0.39557115,1.81E-01
0,0,0.79867325,0.20132675,0.00E+00
0,0,0.59808851,0.19455086,2.07E-01
0,0,0.56747266,0.13914024,2.93E-01
0,0,0.63497198,0.18022211,1.85E-01
1,0,0,0,0.00E+00
0,0.167793531,0.79047318,0.04173329,0.00E+00
0.33983671,0,0.5329115,0.0642326,6.30E-02
1,0,0,0,0.00E+00
0.95850744,0,0,0,4.15E-02
0.85498114,0,0,0,1.45E-01
1,0,0,0,0.00E+00
0.98789734,0,0,0,1.21E-02
0.94420511,0,0,0,5.58E-02
1,0,0,0,0.00E+00
0.92686893,0,0,0,7.31E-02
0.04536078,0.015199593,0.90338391,0.03605571,0.00E+00
0.49496518,0,0.50503482,0,0.00E+00
0.42824547,0,0.42448637,0.05074369,9.65E-02
0.58224213,0,0.41775787,0,0.00E+00
0.99505922,0,0,0,4.94E-03
0.40237974,0,0.59762026,0,0.00E+00
1,0,0,0,0.00E+00
0.99890104,0,0,0,1.10E-03
0.99749811,0,0,0,2.50E-03
0.74772116,0,0.25227884,0,0.00E+00
1,0,0,0,0.00E+00
0.96522115,0,0,0,3.48E-02
0.96336819,0,0,0,3.66E-02
0.98832527,0,0,0,1.17E-02
0,0.143227791,0.85677221,0,0.00E+00
0.18680255,0.167594086,0.45460848,0.06380084,1.27E-01
0.21285898,0,0.78714102,0,0.00E+00
0,0,0.55342924,0.26039745,1.86E-01
0,0,0.58271533,0.1351053,2.82E-01
0,0.351456,0.6463444,0,2.20E-03
0.22737403,0.06858338,0.65214533,0.05189726,0.00E+00
0,0,0.60510749,0.16504336,2.30E-01
0,0,0.60008974,0.13280122,2.67E-01
0,0,0.62482646,0.07863269,2.97E-01
0,0,0.6340881,0.11759935,2.48E-01
0,0,0.62716505,0.15548931,2.17E-01
0,0,0.67096058,0.10407107,2.25E-01
0.14732874,0.200392272,0.50876897,0.04209987,1.01E-01
0,0.137152076,0.84539762,0,1.75E-02
0.13759213,0.216225783,0.50275212,0.05054963,9.29E-02
0.98286752,0,0,0,1.71E-02
0.30550666,0,0.53371066,0.04686107,1.14E-01
0.14284944,0.021264632,0.79884268,0.03704324,0.00E+00
0.54664714,0,0.45173403,0,1.62E-03
0.24988027,0,0.75011973,0,0.00E+00
0.99259171,0,0,0,7.41E-03
0.99823231,0,0,0,1.77E-03
0.30356447,0,0.69643553,0,0.00E+00
0.35081643,0.075612325,0.56316016,0,1.04E-02
0.2677158,0.202822112,0.49790249,0,3.16E-02
0.563202,0,0.436798,0,0.00E+00
0.41359689,0,0.58640311,0,0.00E+00
0.43402459,0.080936292,0.4541324,0,3.09E-02
0.25034164,0.002165026,0.74749333,0,0.00E+00
0.99360212,0,0,0,6.40E-03
0.48274073,0,0.51725927,0,0.00E+00
1,0,0,0,0.00E+00
1,0,0,0,0.00E+00
0.99750311,0,0,0,2.50E-03
0.99626256,0,0,0,3.74E-03
1,0,0,0,0.00E+00
0.98638989,0,0,0,1.36E-02
0.89428656,0,0,0,1.06E-01
0.94126855,0,0,0,5.87E-02
0.94914573,0,0,0,5.09E-02
0.98347694,0,0,0,1.65E-02
0.93666898,0,0,0,6.33E-02
0.95862426,0,0,0,4.14E-02
0,0,0.53565821,0.31023823,1.54E-01
0,0,0.73064406,0.26935594,0.00E+00
0,0,0.46735196,0.35256056,1.80E-01
0,0,0.54759995,0.31568145,1.37E-01
0,0,0.62935728,0.2343714,1.36E-01
0,0.277937456,0.44163662,0.07724057,2.03E-01
