,EPL-IN,GC,M/TC,OSNs,PGC
17x17,0.13993233,0.49586102,8.223578e-06,0.22604871,0.1381497
18x17,0.16605537,1.4510332e-06,0.18547823,0.337924,0.31054088
20x17,1.0189793e-05,0.43913075,0.19359523,0.36725265,1.1179503e-05
19x17,0.020367699,9.839888e-05,0.25234368,0.727162,2.8229071e-05
22x17,0.10433039,0.09750908,0.4450147,0.23563132,0.11751452
21x17,0.1739079,0.061471965,0.20122395,0.26707092,0.29632527
24x17,0.16482839,0.24547122,0.32131785,0.22995192,0.03843072
23x17,0.1853266,0.48758018,6.2021045e-06,0.18686551,0.14022154
25x17,0.070532635,1.7482333e-06,0.48259312,0.33041203,0.11646049
26x17,0.13190815,9.339765e-07,0.14387685,0.53899133,0.18522272
27x17,2.3089062e-05,8.7343964e-05,0.12165648,0.8766638,0.001569283
28x17,3.2532782e-05,1.5249452e-05,0.19419372,0.80574745,1.1066972e-05
10x17,0.044223636,0.40366793,0.14546151,0.40656334,8.359022e-05
9x17,0.24406527,0.15731204,0.17265938,0.28664723,0.13931604
12x17,0.025004182,0.11591792,0.06807767,0.47658622,0.314414
11x17,0.0029837678,0.010775539,0.0048712227,0.97727346,0.004096005
13x17,0.09665477,2.2788663e-06,0.33146766,0.25450057,0.31737468
14x17,0.0693078,0.1318007,0.18426913,0.5242395,0.090382926
15x17,0.16152024,0.6725346,6.624237e-07,0.16592403,2.0472215e-05
16x17,0.16903484,0.561954,0.00028526378,0.26837456,0.00035126775
15x20,0.25939468,0.4487694,0.05346706,0.23835778,1.109308e-05
15x19,0.11777038,0.6111564,2.29998e-06,0.27102527,4.560656e-05
15x18,0.17863962,0.60222477,1.477289e-06,0.21908873,4.5318673e-05
16x18,0.18583561,0.57609373,1.3063567e-06,0.23799546,7.393864e-05
16x20,0.13934053,0.58252966,0.017990991,0.23177987,0.028359039
16x19,0.20077835,0.5301687,0.014837429,0.21980923,0.03440634
13x18,0.03018775,8.102952e-06,0.53574604,0.33028102,0.10377709
