,GC,PGC,OSNs,M/TC,EPL-IN
17x17,0.9905712315792248,0.0013637835845126366,0.00039128159860134357,0.0014092525935030303,0.006264450644158248
18x17,0.05062615656711585,0.1840588916450103,0.18271343111978586,0.10283483430251017,0.4797666863655778
20x17,0.14339513989485897,0.010376569237539369,0.6847591467895556,0.14468974350866337,0.016779400569382617
19x17,0.1150816015884333,0.0759002683532475,0.6962028965178959,0.10463231109201097,0.008182922448412316
22x17,0.1574023474808492,0.13479845846462726,0.12034240965087771,0.40236318095451734,0.18509360344912848
21x17,0.2099295663130496,0.3001919262310673,0.16125525401645635,0.2989609751488371,0.029662278290589667
24x17,0.28505000659408564,0.010621833335402836,0.03171343981458365,0.4254060810141512,0.24720863924177666
23x17,0.9571198183905357,0.009333912765713485,0.00985499364518923,0.007344521052279618,0.016346754146281926
25x17,0.13151836402174785,0.14812778522993253,0.20282106997238375,0.40247587150727115,0.11505690926866471
26x17,0.07785064097537572,0.2923366595429547,0.3053851244939019,0.16835028562056764,0.15607728936720003
27x17,0.04142918923002412,0.02947699778122421,0.4634108256500727,0.0964901468590431,0.3691928404796359
28x17,0.09193412222793819,0.1654418283026348,0.5579341593303364,0.1727004382903738,0.01198945184871683
10x17,0.22679668193452646,0.017610681486529403,0.6782509856435655,0.07623270994003783,0.0011089409953408719
9x17,0.26444548643928945,0.023893928898722855,0.34254959356797127,0.21583660476919828,0.15327438632481813
12x17,0.08526276928023607,0.28582028414302957,0.3426123196958275,0.11229890650795715,0.17400572037294967
11x17,0.2900195427893949,0.08031018115999168,0.10059557776599978,0.14784164917393142,0.38123304911068223
13x17,0.06513791918749165,0.22850456119199314,0.15253198533089737,0.18962923186392072,0.3641963024256971
14x17,0.32978803661775336,0.0964530920825428,0.24538671380222712,0.3277918927237701,0.0005802647737066039
15x17,0.5566363043243557,0.0010726416003908102,0.11253421441543406,0.0008016209459474692,0.3289552187138719
16x17,0.7289143145562466,0.012125761665500463,0.22506736333634153,0.02986467393180859,0.0040278865101028615
15x20,0.14192385565512758,0.0014960722892744438,0.05448195463788041,0.03801088441719364,0.764087233000524
15x19,0.739354850058516,0.00236418663934028,0.2502944745133813,0.0075312811815518126,0.00045520760721055783
15x18,0.4225467916699824,0.0008248669975620498,0.20500087648866142,0.007863340803599942,0.3637641240401942
16x18,0.4671446705835712,0.0022596673599785005,0.33328153860597587,0.00514214098679225,0.1921719824636822
16x20,0.6180048579781823,0.002213743462601773,0.28963979315754346,0.08720015960554693,0.0029414457961255327
16x19,0.22309232641495844,0.010664506707708658,0.08878950868121228,0.03211557654455158,0.645338081651569
13x18,0.10836069200055215,0.20010515740723028,0.11314424934081568,0.5497827291883117,0.02860717206309013
14x18,0.27853611747555374,0.07085375690249321,0.16663820207551447,0.4827808444361679,0.0011910791102706833
13x20,0.4620123215085181,0.04801266944266286,0.24591133860843492,0.2202669758383056,0.023796694602078502
14x19,0.3815738889282017,0.07232383252010796,0.00954017998418194,0.5316742553799563,0.004887843187552075
14x20,0.3578779133012704,0.003305541821898096,0.01847367114071555,0.11177785460253761,0.5085650191335783
13x19,0.19848373466106445,0.062263035433847064,0.17175627751908562,0.227735240542634,0.3397617118433689
14x21,0.870354735494279,0.005524293001099925,0.1212136983095454,0.0009549831062145494,0.0019522900888611116
14x22,0.7075259611440513,0.007026321689493184,0.27555644265589607,0.008144658679638267,0.0017466158309211869
13x22,0.5364688623809286,0.0021073244384305807,0.2096563770832068,0.22471551275868737,0.027051923338746613
13x21,0.5473070509193597,0.02068085725755116,0.004283946429500139,0.3050967747124445,0.1226313706811445
16x21,0.8080913727312848,0.0027761460188576318,0.13046131816387455,0.05194864421961374,0.0067225188663692014
15x21,0.33069339216193794,0.08099950749965254,0.5438208584111947,0.03195887426419813,0.012527367663016735
15x22,0.5373954218999955,0.00039492796685046665,0.4281553145283088,0.03251458347687559,0.001539752127969638
16x22,0.33518099886663866,0.0003467257385037056,0.1724891847813476,0.10437045930043133,0.3876126313130787
12x19,0.08449892586251122,0.4494382237213575,0.05373677431979414,0.4119218591575897,0.0004042169387474361
12x18,0.06460453279110537,0.6253911842519653,0.17444328902057474,0.13487353627631074,0.0006874576600439594
12x20,0.22698048791436662,0.22736993920263762,0.1869642087368487,0.3216044063503535,0.03708095779579354
11x19,0.1644351725189806,0.2804326055013147,0.35330679913620044,0.19966472385270456,0.0021606989907996883
11x18,0.2675180469122666,0.14041796921888705,0.36435103955463277,0.17655329026460007,0.051159654049613514
11x20,0.09793926108631215,0.46791111052874335,0.12082111078889439,0.17192636248590148,0.14140215511014867
