B,CAF,Endo,Macro,Mal,NK,T
0.18724215,0.023746543,0.03813322,0.23443644,0.18513915,0.1589733,0.17232919
0.10139648,0.010778518,0.051362578,0.4136969,0.15457368,0.14453855,0.12365332
0.5628112,0.047696047,0.06077247,0.16012332,0.031272158,0.07285343,0.064471394
0.16850077,0.0026746108,0.016962826,0.14785919,0.2092689,0.30117324,0.15356049
0.27442613,0.0072650667,0.005090394,0.14571351,0.0395845,0.10622924,0.42169118
0.08504383,0.008383958,0.038609587,0.25877282,0.17577559,0.25790566,0.17550856
0.12170443,0.019967811,0.03794563,0.24659848,0.22872385,0.25690734,0.08815237
0.48751068,0.0024477232,0.037346117,0.15966827,0.036573805,0.048431147,0.22802225
0.34403506,0.005386282,0.03407401,0.18034706,0.0070924563,0.14641894,0.28264615
0.14535403,0.11011404,0.05552347,0.2019535,0.0034179809,0.010507217,0.47312975
0.12266752,0.0030076483,0.039912358,0.41948977,0.025157606,0.25265288,0.13711223
0.25848448,0.13964155,0.04694785,0.105728135,0.09665894,0.058591068,0.29394802
0.15739587,0.04041248,0.07890417,0.20943573,0.09236371,0.16460095,0.25688708
0.21209943,0.027157018,0.06741133,0.20277931,0.12313559,0.15122122,0.21619615
0.12311441,0.09463657,0.039755903,0.27828228,0.09265094,0.19664788,0.17491198
0.45321316,0.017862525,0.022548387,0.14229053,0.022195335,0.032112867,0.30977714
0.17638871,0.12804966,0.04672228,0.2387599,0.01625669,0.13825905,0.25556377
0.22653323,0.09100076,0.20086305,0.059380863,0.053387918,0.22374469,0.14508957
0.07719844,0.059265863,0.05171255,0.24068508,0.21914038,0.23465791,0.11733979
0.09626214,0.025514299,0.007819499,0.35508364,0.08129036,0.046018217,0.38801193
0.100005895,0.13710499,0.05312273,0.31782526,0.046814825,0.17348301,0.17164329
0.17104831,0.16895647,0.091187656,0.18801449,0.05845206,0.014290836,0.30805022
0.3284641,0.12828624,0.094432585,0.1629954,0.15147607,0.046213992,0.08813166
0.33719897,0.03071237,0.07120644,0.12375577,0.14354411,0.111321464,0.1822609
0.11519472,0.022770397,0.03627094,0.048266575,0.49223444,0.14123325,0.14402962
0.090522416,0.02223105,0.039725643,0.17816585,0.32392824,0.039792486,0.30563438
0.07120147,0.19026946,0.12519053,0.19111833,0.060634412,0.062157687,0.2994281
0.10164,0.17669213,0.016816124,0.26863652,0.041730516,0.034995373,0.35948932
0.2951472,0.007931234,0.04621815,0.023262948,0.4668644,0.07299384,0.087582335
0.30804533,0.008763539,0.13758151,0.043898113,0.3196376,0.07356386,0.10851005
0.23958315,0.013858667,0.045147613,0.103632934,0.36785465,0.034335714,0.1955873
