,T,Mal,B,Macro,Endo,CAF,NK
7x15,0.09553682,0.5663216,0.22457775,0.070550606,0.0,0.040718198,0.0
7x16,0.05958094,0.32588792,0.024010185,0.22718506,0.09346669,0.17802334,0.0918459
7x17,0.0,0.28083116,0.2334386,0.17696106,0.07455435,0.22473365,0.0
7x18,0.025566237,0.65291727,0.16576786,0.15422413,0.0,0.0,0.0
8x13,0.017637283,0.3960119,0.3127745,0.08152421,0.0,0.18986897,0.0
8x14,0.16882052,0.4094682,0.13415092,0.24315552,0.0,0.04246581,0.0
8x15,0.07731906,0.48336482,0.0,0.3051199,0.0,0.12616563,0.0
8x16,0.09049555,0.6566537,0.050222937,0.040982608,0.0,0.15399532,0.0
8x17,0.16062933,0.05326162,0.5967296,0.062115997,0.0,0.12600657,0.0
8x18,0.010668403,0.28798163,0.26581174,0.16411605,0.0,0.2674211,0.0
8x19,0.0,0.43361893,0.2536215,0.0,0.082886845,0.21164072,0.0
9x13,0.19781466,0.20115693,0.21107146,0.21992168,0.0,0.1639963,0.0
9x14,0.21772826,0.20495318,0.19716102,0.23343568,0.0,0.14454211,0.0
9x15,0.16497286,0.36548412,0.3036102,0.16292374,0.0,0.0,0.0
9x16,0.13481432,0.51047325,0.0,0.27841207,0.04059848,0.023188137,0.0
9x17,0.13945189,0.0438169,0.5439783,0.015359467,0.07314499,0.1832519,0.0
9x18,0.012169317,0.30512562,0.058514893,0.16669898,0.17884377,0.27422577,0.0
10x13,0.092438675,0.28711304,0.22083919,0.12385831,0.096195586,0.16561,0.013945253
10x15,0.06405303,0.39863372,0.11507212,0.18683788,0.040718947,0.19214045,0.0
10x16,0.10929512,0.15561229,0.26041606,0.25268033,0.0,0.2107202,0.0
10x17,0.07573929,0.22237518,0.25795317,0.23392308,0.0,0.20778206,0.0
10x18,0.0,0.3027396,0.025423205,0.18946852,0.0,0.47877422,0.0
11x12,0.13085593,0.20796001,0.33953026,0.0753794,0.090086296,0.15265323,0.0
11x13,0.17291136,0.2405479,0.39585203,0.08731894,0.0,0.101536095,0.0
11x14,0.029426776,0.804417,0.09183845,0.066772595,0.0,0.0,0.0
11x15,0.014367913,0.9264148,0.0,0.051005125,0.0,0.0,0.0
11x16,0.03340642,0.5380611,0.15511684,0.07134088,0.0,0.19502671,0.0
11x17,0.07335366,0.2333619,0.16181622,0.19872417,0.0,0.32078797,0.0
12x12,0.105058365,0.43690675,0.21565762,0.090219684,0.0,0.14929707,0.0
12x13,0.027369121,0.7566841,0.09330883,0.071435414,0.026474508,0.024408212,0.0
12x14,0.0,0.9292993,0.05214638,0.0,0.0,0.0,0.0
12x15,0.041352663,0.7564999,0.11563028,0.056930866,0.0,0.02803134,0.0
12x16,0.23532927,0.1881173,0.20665172,0.2525576,0.0,0.1146968,0.0
12x17,0.0100054275,0.18912473,0.23940443,0.20620549,0.023549123,0.26817033,0.063540444
13x11,0.0,0.59060264,0.022742214,0.1750344,0.063182086,0.14638753,0.0
13x12,0.0,0.9937734,0.0,0.0,0.0,0.0,0.0
13x13,0.0,0.9889464,0.0,0.0,0.0,0.0,0.0
13x14,0.024458203,0.54066634,0.16416733,0.16961949,0.0,0.100046024,0.0
13x15,0.0,0.9695237,0.0,0.014469058,0.0,0.0,0.0
13x16,0.090747535,0.5745409,0.0,0.24609424,0.0,0.07529492,0.0
13x17,0.02703079,0.212312,0.048406817,0.15390365,0.15590078,0.31825575,0.08419023
13x18,0.010203935,0.3501194,0.047460154,0.24957816,0.0,0.339147,0.0
14x7,0.0,0.99908817,0.0,0.0,0.0,0.0,0.0
14x8,0.0,0.9748936,0.0,0.021403959,0.0,0.0,0.0
14x9,0.016767196,0.2845418,0.17147169,0.21609299,0.023067547,0.28068066,0.0
14x10,0.0,0.9845852,0.0,0.0,0.0,0.0,0.0
14x11,0.0,0.97860616,0.016360724,0.0,0.0,0.0,0.0
14x12,0.0,0.9332156,0.06473005,0.0,0.0,0.0,0.0
14x13,0.0,0.81248224,0.01851013,0.15837239,0.0,0.0,0.0
14x14,0.012263059,0.521834,0.03481684,0.25164425,0.0,0.1769186,0.0
14x15,0.0,0.86760885,0.0,0.12323124,0.0,0.0,0.0
14x16,0.031033965,0.44090423,0.3287285,0.15457736,0.018863875,0.025563933,0.0
14x17,0.1280322,0.14333591,0.21934539,0.19076115,0.0,0.30997437,0.0
14x18,0.0,0.20093936,0.040210467,0.18417695,0.19731358,0.37403187,0.0
15x5,0.030735154,0.32680917,0.17600955,0.22607946,0.0,0.23569833,0.0
15x6,0.1367643,0.40926033,0.0,0.24503076,0.0,0.19555797,0.0
15x7,0.040303826,0.47588247,0.0,0.2974854,0.0,0.17624232,0.0
15x8,0.0305485,0.5276413,0.0,0.3164704,0.0,0.11501722,0.0
15x9,0.0,0.5685659,0.0,0.28034198,0.0,0.142033,0.0
15x10,0.0,0.9987286,0.0,0.0,0.0,0.0,0.0
15x11,0.014585214,0.97905743,0.0,0.0,0.0,0.0,0.0
15x12,0.02234609,0.91973555,0.028940888,0.0,0.0,0.019422868,0.0
15x13,0.0,0.9949091,0.0,0.0,0.0,0.0,0.0
15x14,0.0,0.99051404,0.0,0.0,0.0,0.0,0.0
15x15,0.0,0.97646934,0.0,0.0,0.0,0.0,0.0
15x16,0.0,0.9347109,0.0,0.056100093,0.0,0.0,0.0
15x17,0.116910614,0.23106416,0.2323554,0.18421149,0.0,0.23319536,0.0
15x18,0.0,0.26717097,0.3438744,0.20823313,0.0,0.174957,0.0
16x3,0.051282227,0.472138,0.06365527,0.18820639,0.0,0.21429326,0.0
16x4,0.028415347,0.7236604,0.0,0.18443944,0.0,0.04939316,0.0
16x5,0.0,0.9972066,0.0,0.0,0.0,0.0,0.0
16x6,0.0,0.84265536,0.0,0.15401888,0.0,0.0,0.0
16x7,0.0,0.89848524,0.0,0.09610025,0.0,0.0,0.0
16x8,0.073283926,0.6274611,0.0,0.19677316,0.0,0.09732102,0.0
16x9,0.0,0.9942456,0.0,0.0,0.0,0.0,0.0
16x10,0.0,0.9964605,0.0,0.0,0.0,0.0,0.0
16x11,0.0,0.9777413,0.0,0.017984783,0.0,0.0,0.0
16x12,0.0,0.99753773,0.0,0.0,0.0,0.0,0.0
16x13,0.0,0.9680734,0.028027698,0.0,0.0,0.0,0.0
16x14,0.0,0.99419075,0.0,0.0,0.0,0.0,0.0
16x15,0.0,0.9804617,0.0,0.013202907,0.0,0.0,0.0
16x16,0.022360047,0.58003396,0.083418824,0.19974563,0.0,0.104724996,0.0
16x17,0.09421447,0.23364915,0.08736041,0.22636217,0.0,0.3501441,0.0
16x18,0.025259497,0.4686566,0.22003077,0.058068506,0.049987312,0.17749712,0.0
16x19,0.018423067,0.25781497,0.24062894,0.10205788,0.18128474,0.19738644,0.0
17x4,0.20219603,0.40892422,0.0,0.28282243,0.0,0.08865872,0.0
17x5,0.037563544,0.6830488,0.0,0.23448728,0.0,0.040605653,0.0
17x6,0.0,0.8086442,0.0,0.18954487,0.0,0.0,0.0
17x7,0.021587085,0.6397521,0.0,0.244039,0.0,0.09025627,0.0
17x8,0.0,0.78772783,0.0,0.19479385,0.0,0.0135799935,0.0
17x9,0.0,0.9416875,0.0,0.057359908,0.0,0.0,0.0
17x10,0.0,0.99662423,0.0,0.0,0.0,0.0,0.0
17x11,0.0,0.99561226,0.0,0.0,0.0,0.0,0.0
17x12,0.0,0.9862627,0.0,0.0,0.0,0.0,0.0
17x13,0.0,0.99447244,0.0,0.0,0.0,0.0,0.0
17x14,0.0,0.997532,0.0,0.0,0.0,0.0,0.0
17x15,0.045674607,0.89424795,0.0468312,0.01251424,0.0,0.0,0.0
17x16,0.08373603,0.19716106,0.20861521,0.15959045,0.12482329,0.22029261,0.0
17x17,0.010265936,0.31139827,0.02203446,0.18348484,0.0,0.4625956,0.0
17x18,0.05364635,0.4396312,0.11532533,0.12670022,0.0,0.25321501,0.0
17x19,0.049930185,0.21551207,0.22241664,0.13838243,0.16387722,0.20673697,0.0
17x20,0.0,0.19498569,0.16575561,0.21970786,0.14041747,0.25559697,0.014704838
17x21,0.013375843,0.25931463,0.23740405,0.13551582,0.15876038,0.19190224,0.0
18x4,0.061206095,0.2786559,0.18702278,0.19097544,0.112000644,0.16686392,0.0
18x5,0.053481538,0.3834139,0.0,0.30099496,0.0,0.24363087,0.013302843
18x6,0.0,0.9473317,0.0,0.050259486,0.0,0.0,0.0
18x7,0.0,0.9991448,0.0,0.0,0.0,0.0,0.0
18x8,0.0,0.9950736,0.0,0.0,0.0,0.0,0.0
18x9,0.0,0.98581076,0.0,0.0,0.0,0.0,0.0
18x10,0.0,0.9949162,0.0,0.0,0.0,0.0,0.0
18x11,0.0,0.9948555,0.0,0.0,0.0,0.0,0.0
18x12,0.0,0.96435136,0.0,0.01572852,0.0,0.011507341,0.0
18x13,0.0,0.9657723,0.0,0.0,0.0,0.030851189,0.0
18x14,0.0,0.9978504,0.0,0.0,0.0,0.0,0.0
18x15,0.014189428,0.7867615,0.04476783,0.15097524,0.0,0.0,0.0
18x16,0.13536902,0.26233238,0.22721142,0.18177117,0.0,0.19109482,0.0
18x17,0.0,0.29532376,0.04862342,0.1417546,0.13968244,0.36763427,0.0
18x18,0.08565358,0.25304994,0.0,0.17696612,0.1616955,0.30946288,0.0
18x19,0.16049142,0.20641617,0.13351904,0.17942438,0.1281803,0.17664725,0.015321473
18x20,0.02243464,0.2195133,0.22251683,0.102262355,0.1440231,0.28822517,0.0
18x21,0.024011347,0.20608,0.27138817,0.16371912,0.14971179,0.18361524,0.0
18x22,0.023264768,0.040562894,0.24691935,0.19757944,0.17060503,0.3161803,0.0
18x23,0.082451805,0.18066992,0.18355346,0.1360254,0.12321096,0.28776437,0.0
18x24,0.10249939,0.24504174,0.20594935,0.18677348,0.034811802,0.222658,0.0
19x4,0.058352035,0.55951864,0.0128734205,0.29069576,0.0,0.04070381,0.034571256
19x5,0.10266704,0.77803844,0.028878262,0.0,0.08721866,0.0,0.0
19x6,0.0,0.98302907,0.0,0.0,0.0,0.014230857,0.0
19x7,0.0,0.98975325,0.0,0.0,0.0,0.0,0.0
19x8,0.0,0.99903584,0.0,0.0,0.0,0.0,0.0
19x9,0.0,0.99959594,0.0,0.0,0.0,0.0,0.0
19x10,0.0,0.99962556,0.0,0.0,0.0,0.0,0.0
19x11,0.0,0.99922514,0.0,0.0,0.0,0.0,0.0
19x12,0.0,0.8740792,0.0,0.12290316,0.0,0.0,0.0
19x13,0.0,0.9924314,0.0,0.0,0.0,0.0,0.0
19x14,0.0,0.99228877,0.0,0.0,0.0,0.0,0.0
19x15,0.09356911,0.6926489,0.0,0.16208953,0.0,0.046562526,0.0
19x16,0.16095431,0.14696066,0.28171912,0.21548319,0.0,0.1789036,0.0
19x17,0.0,0.25620708,0.1087402,0.1797693,0.14251135,0.30806652,0.0
19x18,0.011939605,0.3098222,0.2100138,0.16908197,0.0,0.292523,0.0
19x19,0.0,0.23478208,0.12763096,0.14837074,0.13334772,0.35284582,0.0
19x20,0.04144172,0.31740835,0.30737114,0.051287208,0.0,0.27954763,0.0
19x21,0.22683834,0.5390408,0.05535092,0.031716257,0.018616935,0.121127695,0.0
19x22,0.0,0.19005156,0.30640236,0.12485105,0.15682548,0.21978512,0.0
19x23,0.0,0.26690876,0.30472183,0.12583895,0.0,0.2927197,0.0
19x24,0.0,0.16973923,0.17373438,0.17536546,0.2212316,0.25385466,0.0
19x25,0.09577278,0.19547671,0.2074133,0.12091789,0.15163068,0.22610186,0.0
19x26,0.011325784,0.19359285,0.16201526,0.13236204,0.15346012,0.34581748,0.0
19x27,0.0,0.036659945,0.25422582,0.0,0.2844455,0.40230465,0.0
19x28,0.0,0.113694474,0.030508507,0.13212493,0.19627547,0.51516163,0.0
20x5,0.028358966,0.5497259,0.015427078,0.20514135,0.0,0.15202343,0.04832556
20x6,0.0,0.9212384,0.0,0.07197863,0.0,0.0,0.0
20x7,0.0,0.99837923,0.0,0.0,0.0,0.0,0.0
20x8,0.0,0.8821918,0.0,0.11550963,0.0,0.0,0.0
20x9,0.0,0.9957967,0.0,0.0,0.0,0.0,0.0
20x10,0.0,0.9958425,0.0,0.0,0.0,0.0,0.0
20x11,0.0,0.9234348,0.0,0.0,0.0,0.070836134,0.0
20x12,0.0,0.829262,0.0,0.0,0.0,0.1637572,0.0
20x13,0.069687426,0.40946084,0.4304197,0.024393354,0.0,0.06528174,0.0
20x14,0.014973127,0.74705094,0.11247725,0.03031448,0.0,0.0943013,0.0
20x15,0.12590258,0.5512604,0.0,0.25886592,0.027475554,0.031402227,0.0
20x16,0.24310297,0.14987324,0.0653303,0.13961549,0.15343693,0.23566775,0.012973267
20x17,0.026417574,0.34676483,0.016241927,0.09271956,0.17420126,0.34319246,0.0
20x18,0.0,0.29633066,0.11479727,0.02245068,0.3057166,0.25648314,0.0
20x19,0.10326122,0.22173473,0.1571049,0.22647393,0.0,0.2867834,0.0
20x20,0.065817274,0.18539168,0.25903118,0.14051028,0.14602625,0.19906472,0.0
20x21,0.0479914,0.25710604,0.39776197,0.13284491,0.0,0.16350733,0.0
20x22,0.12654814,0.18923797,0.3625572,0.106455,0.01580141,0.18058254,0.01881762
20x23,0.11669822,0.18641733,0.2730813,0.1225345,0.057409905,0.24013935,0.0
20x24,0.09809778,0.1697522,0.2180179,0.15181598,0.14813341,0.20702451,0.0
20x25,0.05108786,0.24158838,0.32992753,0.10096925,0.0,0.23168382,0.043124083
20x26,0.0,0.12167089,0.32927805,0.11637953,0.13982819,0.28060368,0.0
20x27,0.0,0.07815359,0.24129948,0.17419541,0.08479705,0.4151078,0.0
20x28,0.053197127,0.22234222,0.09151239,0.12259318,0.12728992,0.35832724,0.024737941
21x6,0.0,0.9989538,0.0,0.0,0.0,0.0,0.0
21x7,0.0,0.99781656,0.0,0.0,0.0,0.0,0.0
21x8,0.0,0.99562436,0.0,0.0,0.0,0.0,0.0
21x9,0.0,0.9827048,0.0,0.0,0.0,0.0,0.0
21x10,0.0,0.9990645,0.0,0.0,0.0,0.0,0.0
21x11,0.0,0.7881739,0.0,0.19791225,0.0,0.011093117,0.0
21x12,0.0,0.99546885,0.0,0.0,0.0,0.0,0.0
21x13,0.0,0.98744863,0.011073591,0.0,0.0,0.0,0.0
21x14,0.07628918,0.3918472,0.28550625,0.12961136,0.0,0.11556491,0.0
21x15,0.16146004,0.20137995,0.19153465,0.26715645,0.061180606,0.11104961,0.0
21x16,0.11242389,0.23214756,0.040446814,0.18596286,0.12456175,0.29444999,0.010007134
21x17,0.030110473,0.21311186,0.14880124,0.1051135,0.18843697,0.3076311,0.0
21x18,0.035768878,0.34041616,0.0,0.15780915,0.14172377,0.3170044,0.0
21x19,0.0,0.22672798,0.27523017,0.07600798,0.21833333,0.2031758,0.0
21x20,0.02231587,0.19121222,0.34185776,0.16126665,0.0,0.28103694,0.0
21x21,0.1834565,0.054112505,0.41559097,0.14920211,0.0,0.19327667,0.0
21x22,0.22302505,0.027503887,0.38814843,0.072632514,0.1807156,0.10387294,0.0
21x23,0.0509223,0.01849271,0.5701398,0.164612,0.0,0.1952498,0.0
21x24,0.038040545,0.23257633,0.352414,0.06880899,0.040286765,0.2661877,0.0
21x25,0.01813762,0.024444517,0.41761532,0.12921342,0.13516334,0.2744442,0.0
21x26,0.022474643,0.041062646,0.45596194,0.17407128,0.13708025,0.16786309,0.0
21x27,0.14577332,0.27579254,0.28831965,0.02214257,0.016640821,0.25022238,0.0
21x28,0.0,0.23055026,0.18029621,0.13058357,0.20943998,0.24181227,0.0
22x6,0.0,0.9124493,0.0,0.08168886,0.0,0.0,0.0
22x7,0.0,0.8061995,0.0,0.18883605,0.0,0.0,0.0
22x8,0.0,0.9551914,0.0,0.035566635,0.0,0.0,0.0
22x9,0.0,0.98846006,0.0,0.0,0.0,0.0,0.0
22x10,0.0,0.8591036,0.0,0.10857529,0.0,0.02954051,0.0
22x11,0.0,0.98545617,0.0,0.011651967,0.0,0.0,0.0
22x12,0.0,0.99607,0.0,0.0,0.0,0.0,0.0
22x13,0.081611104,0.4591871,0.23628308,0.10232616,0.0,0.11316955,0.0
22x14,0.1696446,0.2005326,0.26609752,0.122176945,0.0,0.22938775,0.0
22x15,0.067902826,0.29243422,0.010029269,0.17571466,0.011180644,0.43834174,0.0
22x16,0.0,0.3045623,0.0,0.085899405,0.13241795,0.4684706,0.0
22x17,0.02279829,0.30282047,0.10590467,0.11244819,0.14023438,0.3069605,0.0
22x18,0.04224573,0.39872852,0.018703116,0.119031124,0.0,0.4177542,0.0
22x19,0.07370651,0.2708181,0.34927338,0.07789308,0.027815295,0.19949774,0.0
22x20,0.09768333,0.14035398,0.20961136,0.15471122,0.15622976,0.23576204,0.0
22x21,0.020943755,0.119399995,0.443052,0.027785292,0.15804978,0.22952974,0.0
22x22,0.013875779,0.06368284,0.70425624,0.0,0.01227347,0.2053287,0.0
22x23,0.011270618,0.021523826,0.71322817,0.0,0.12427466,0.12913416,0.0
22x24,0.1301302,0.0647433,0.21899654,0.12512432,0.2129039,0.22834155,0.019760232
22x25,0.010011083,0.019521417,0.5788636,0.0,0.14237328,0.24268584,0.0
22x26,0.0,0.016149107,0.97640204,0.0,0.0,0.0,0.0
22x27,0.1291933,0.05806936,0.66039944,0.0220928,0.0,0.12940106,0.0
23x7,0.014537947,0.75990987,0.0,0.21937189,0.0,0.0,0.0
23x8,0.0,0.995424,0.0,0.0,0.0,0.0,0.0
23x9,0.0,0.99565107,0.0,0.0,0.0,0.0,0.0
23x10,0.0,0.9989225,0.0,0.0,0.0,0.0,0.0
23x11,0.0,0.9992119,0.0,0.0,0.0,0.0,0.0
23x12,0.035897642,0.5515308,0.0,0.2418706,0.0,0.1576785,0.0
23x13,0.12693599,0.20305458,0.19305146,0.15388322,0.12086696,0.198177,0.0
23x14,0.05767615,0.19532838,0.03821883,0.18090919,0.23926823,0.27425507,0.01434423
23x15,0.12355876,0.2461219,0.08335023,0.14439864,0.15636316,0.24220994,0.0
23x16,0.0,0.26697847,0.09126476,0.26843688,0.14514905,0.21722697,0.0
23x17,0.0,0.27104232,0.088949256,0.18213585,0.18208565,0.2733736,0.0
23x18,0.0,0.29613736,0.0,0.19197726,0.041414242,0.4586781,0.0
23x19,0.13147293,0.19413252,0.31663412,0.0,0.1779183,0.1692884,0.0
23x20,0.064294904,0.029075887,0.42603812,0.16096537,0.12532923,0.19283968,0.0
23x21,0.0,0.010429275,0.9880391,0.0,0.0,0.0,0.0
23x22,0.0,0.018514108,0.9642333,0.0,0.0,0.011140345,0.0
23x23,0.3517159,0.033195026,0.47514117,0.0,0.0,0.1284486,0.0
23x24,0.3530929,0.044388436,0.16885924,0.1547234,0.12186851,0.149859,0.0
23x25,0.2490286,0.18168394,0.03232654,0.17017318,0.03191699,0.21419363,0.12067722
23x26,0.12169061,0.3146048,0.28268364,0.0,0.13764721,0.14075878,0.0
24x8,0.021667281,0.79212546,0.0,0.17883867,0.0,0.0,0.0
24x9,0.0,0.9684355,0.0,0.0,0.0,0.016411258,0.0
24x10,0.0,0.9986125,0.0,0.0,0.0,0.0,0.0
24x11,0.0,0.99484974,0.0,0.0,0.0,0.0,0.0
24x12,0.2408584,0.33053014,0.024454277,0.22086558,0.0,0.17435512,0.0
24x13,0.1810944,0.28047374,0.11792471,0.09504642,0.114280865,0.199769,0.011410884
24x14,0.055325884,0.25168234,0.15593311,0.19645044,0.12373614,0.20850143,0.0
24x15,0.044328816,0.19488642,0.100325465,0.15712947,0.123420104,0.2670413,0.112868436
24x16,0.03807627,0.30147308,0.113583334,0.16517206,0.034934703,0.3448513,0.0
24x17,0.0641408,0.1755686,0.13295402,0.17571358,0.17627428,0.26810238,0.0
24x18,0.0142288655,0.21978869,0.043447208,0.1312948,0.19269009,0.33311075,0.06543955
24x19,0.021184064,0.43407065,0.22758031,0.06042955,0.01747573,0.23797642,0.0
24x20,0.025689123,0.1538733,0.23515905,0.1689874,0.24717478,0.16229409,0.0
