,B,CAF,Endo,Macro,Mal,NK,T
7x15,0.31364864,5.1262277e-06,0.12003841,0.06370786,0.25179547,3.471667e-05,0.25076976
7x16,0.06550131,0.032601383,0.31619307,0.0556686,6.043968e-05,0.49135205,0.03862305
7x17,0.13003884,0.19062257,0.32106602,0.023429882,0.21956058,0.11527258,9.563993e-06
7x18,0.5569125,3.9740065e-05,0.29037225,1.7998922e-05,0.15262981,1.6823318e-05,1.0974963e-05
8x13,0.22481532,0.12388443,0.28911224,0.03400822,0.09808831,0.11667952,0.11341192
8x14,0.015523057,5.910037e-06,0.12597735,0.5473343,0.051051456,0.16423717,0.09587072
8x15,0.06594327,0.0008893645,0.112234965,0.67772293,0.00019370268,6.8553973e-06,0.14300889
8x16,0.14301395,0.276958,0.00024632167,0.26287466,6.954452e-05,0.14696732,0.16987024
8x17,0.3606016,0.094293684,0.22007169,0.00022440245,0.07992692,0.057910237,0.18697143
8x18,0.16805267,0.2784341,0.22790614,0.18685596,0.13871557,2.3587985e-05,1.1956574e-05
8x19,0.08137265,0.3084566,8.171403e-06,0.35586038,0.25427523,1.437103e-05,1.267261e-05
9x13,0.15304501,0.058961164,0.24408156,0.08384435,0.08058712,0.1280596,0.25142118
9x14,0.14449431,0.100993484,0.22837451,0.21427137,0.0805545,0.10351159,0.12780021
9x15,0.2481672,0.046634484,0.07184091,0.2725863,0.00010374029,0.07492877,0.2857386
9x16,0.21482643,1.3879975e-05,0.05953255,0.48907155,3.11751e-05,0.0789812,0.15754323
9x17,0.36845404,0.10743759,0.10866169,0.0006227833,0.09113535,0.18100627,0.14268228
9x18,2.1264097e-05,0.32753477,0.2528302,0.21670225,0.061209567,0.07041899,0.071282916
10x13,0.17447357,0.19151479,0.40315995,0.020462157,0.14149036,0.06889096,8.13259e-06
10x15,0.21693198,0.107653305,0.2993865,0.1238026,0.19089685,4.7409052e-05,0.0612813
10x16,0.17810038,0.15245803,0.27581778,0.10662667,0.13415034,0.04624901,0.106597774
10x17,0.35438797,0.1276886,0.16075994,1.6221964e-05,0.07821665,0.20581032,0.07312022
10x18,7.06319e-05,0.43814728,0.24503438,0.08629109,0.035350904,0.19494441,0.00016125472
11x12,0.3471493,0.107593305,0.1667974,0.04181647,0.15223704,0.037559986,0.14684644
11x13,0.27469394,0.036835413,0.10956984,0.104425535,0.08098054,0.13607317,0.25742155
11x14,0.23495905,0.00062696455,0.00014668395,0.35334954,4.337074e-05,0.30331874,0.107555576
11x15,0.06085309,8.112563e-05,0.0019616624,0.41958123,0.0009041348,0.1680199,0.34859893
11x16,0.12690045,0.20257561,0.2905471,2.4402198e-05,0.17546654,0.06770416,0.1367817
11x17,8.000721e-06,0.35539392,0.043590568,0.19099873,0.24894603,2.3579983e-05,0.16103919
12x12,0.20708482,8.511746e-05,0.22391225,0.26946297,0.14771658,1.7240085e-05,0.15172105
12x13,0.13400337,0.10058094,2.2608352e-05,0.48830405,0.16724199,0.043847315,0.06599973
12x14,0.18332602,1.477519e-05,0.23031476,0.40170655,0.073063485,0.06690202,0.04467246
12x15,0.25966483,0.0013103788,0.25489622,0.124012016,0.10361496,1.1871756e-05,0.25648978
12x16,0.210584,0.039606012,0.22988883,0.25436732,0.07515487,0.06344758,0.12695141
12x17,0.3234724,0.17680484,0.45447916,1.95605e-06,1.1798365e-06,8.067699e-07,0.045239486
13x11,1.4368397e-05,0.2438498,0.030768922,0.27120623,0.00013697482,0.45400757,1.6175585e-05
13x12,0.0003719181,9.3676565e-05,0.09281691,0.00022997308,0.00024244706,0.9061819,6.325597e-05
13x13,0.20695609,1.7814253e-05,2.8282167e-05,0.21451941,0.39878494,0.17965157,4.195058e-05
13x14,0.20308298,5.0813937e-06,0.18294133,0.39752868,1.4913603e-05,0.016954493,0.19947258
13x15,4.0396888e-05,3.9499264e-05,0.00012846351,0.4893012,0.19575216,0.13237712,0.18236125
13x16,0.25554898,0.00010130147,0.059989333,0.5297033,0.00012175157,0.15446144,7.385849e-05
13x17,0.05120416,0.1634025,0.21614888,0.16163091,3.967568e-06,0.09191475,0.3156948
13x18,0.1813687,0.225638,0.30131862,0.29111153,0.0005311051,2.6196214e-05,5.7984985e-06
14x7,0.15433611,0.11789923,0.09495477,0.17575122,0.18181416,0.14782335,0.12742116
14x8,1.5193562e-05,1.5364938e-05,2.1634323e-05,0.99971074,0.00017352607,3.4969504e-05,2.8510714e-05
14x9,0.059699524,0.23587151,0.30964452,0.11364145,0.1885952,0.092535876,1.1983452e-05
14x10,1.8922785e-05,4.642109e-05,0.0006521673,0.00034802806,0.9987975,3.7197908e-05,9.9778656e-05
14x11,0.26662222,0.031100681,0.24123505,0.22802356,3.2631662e-05,0.23294327,4.262007e-05
14x12,0.9994472,6.997604e-05,4.8467406e-05,0.00012813056,0.00015553382,4.7294085e-05,0.00010334845
14x13,0.063726015,1.8347839e-05,2.6488693e-05,0.23461822,0.13020317,0.17184152,0.3995662
14x14,0.118894875,0.13076591,0.14704026,0.6031397,8.28009e-05,6.7560077e-06,6.966038e-05
14x15,0.51957786,1.2197027e-05,6.2369196e-05,0.4791173,0.00012971884,9.6378135e-05,0.0010041858
14x16,0.39823866,4.95581e-05,0.12887877,0.1655247,0.11574522,0.06034758,0.13121554
14x17,0.16848943,0.18724337,0.27695915,0.19025497,0.17364527,4.3569585e-06,0.0034033987
14x18,0.06869719,0.1772328,0.21058209,0.05188373,0.27689472,5.8925393e-06,0.21470362
15x5,0.049802423,6.0390692e-05,0.268772,0.4660581,0.066038094,0.14896938,0.00029961878
15x6,8.423855e-06,0.08802327,0.03330289,0.3699395,0.14910276,0.17088482,0.18873827
15x7,8.88086e-06,0.11819053,0.0018796638,0.58404064,0.12898526,0.16647343,0.00042156712
15x8,3.770112e-06,0.00021178403,0.0037094932,0.7127336,0.2832679,6.162997e-05,1.1840063e-05
15x9,0.07682344,0.20571065,0.1326623,0.5846912,9.883647e-05,5.643813e-06,7.971411e-06
15x10,0.00017213117,0.00035387505,0.00042984667,0.0004085637,0.9981132,0.00024987134,0.00027242608
15x11,0.61458045,2.7624246e-05,0.18289337,0.00026283038,0.00056324265,0.00021455577,0.20145792
15x12,0.30101806,0.0011391157,0.00040432607,0.65639395,4.301887e-05,0.040981274,2.0274792e-05
15x13,0.9983147,8.666978e-05,9.1569884e-05,0.0006054348,0.000671606,0.00013773306,9.231327e-05
15x14,0.78689593,0.00070288795,0.2086182,8.084297e-05,0.0029292665,0.0007467075,2.6066195e-05
15x15,0.000110802604,5.9880553e-05,0.1177952,0.004174977,0.49413824,2.9147117e-05,0.3836917
15x16,0.0010134858,0.17687444,0.15746728,0.6516425,0.01279652,6.4509746e-05,0.00014122966
15x17,0.18593206,0.1854428,0.1654301,0.22118418,0.09489029,0.0016072729,0.14551328
15x18,0.24994187,0.14093347,0.010925648,0.17809483,0.38893992,0.00024803905,0.030916173
16x3,0.43801054,0.022239914,2.786359e-05,0.30067337,0.112447634,0.12656425,3.6432655e-05
16x4,0.050877992,2.122271e-05,0.11685302,0.40992847,2.8887605e-05,0.2182518,0.20403863
16x5,0.10241072,0.12162681,0.0845705,0.24140139,0.3197998,0.054212324,0.07597847
16x6,3.4885186e-05,1.784423e-05,4.3230473e-05,0.99844575,0.0013597513,2.3986713e-05,7.4572614e-05
16x7,4.5124387e-05,0.0004070436,0.00013011375,0.9991389,0.00016370241,3.8388574e-05,7.6701624e-05
16x8,2.0454565e-05,0.14009933,0.25332215,0.41178516,0.15779236,2.7440301e-05,0.036953077
16x9,0.020577395,0.08468833,0.029364314,0.09218695,0.05350755,0.025095904,0.69457954
16x10,0.00016290642,0.99538094,0.00026172405,0.0029913217,0.000711625,0.00021749138,0.00027404976
16x11,0.6892814,0.0071476046,0.008115077,0.0990996,0.17575729,0.010808355,0.009790738
16x12,0.028029012,0.082091615,0.05600001,0.17369285,0.5683174,0.046152454,0.04571671
16x13,0.26951534,5.937884e-05,1.2262505e-05,0.7302569,9.500767e-05,1.0170532e-05,5.0916587e-05
16x14,0.7581098,6.2885716e-05,2.5094394e-05,0.0014915545,0.23943354,3.863196e-05,0.0008384806
16x15,6.9426285e-05,0.00015840883,8.9693465e-05,0.21785073,0.78171366,5.264649e-05,6.551448e-05
16x16,0.25483084,0.03287462,0.08986588,0.22862254,0.24345075,0.07630524,0.07405015
16x17,0.17087464,0.21548596,0.16183077,0.20686717,0.16328822,0.02211805,0.059535213
16x18,0.11813496,0.26255944,0.18931144,0.10183679,0.0001859608,0.19022292,0.13774845
16x19,0.214403,0.124392144,0.30956554,4.495658e-06,0.2585,2.6695745e-05,0.0931081
17x4,3.0204812e-05,0.08655998,0.00041106882,0.73057413,1.4206326e-05,0.1605343,0.0218761
17x5,3.5231686e-05,9.1749345e-05,3.8906608e-05,0.8590176,6.8222624e-05,0.14071663,3.162054e-05
17x6,0.5975643,2.8584302e-05,2.9821627e-05,0.40218168,8.189577e-05,5.2173953e-05,6.15246e-05
17x7,6.4075043e-06,0.07193389,9.8229275e-06,0.69909286,0.22888999,4.188989e-05,2.5156382e-05
17x8,0.00036738906,1.4310899e-05,2.2619075e-05,0.64929813,0.14930746,0.00016506009,0.20082498
17x9,0.027620051,0.03257277,0.022401575,0.7294998,0.10618907,0.043804556,0.037912227
17x10,0.035659187,0.03902822,0.026273813,0.07024313,0.7415237,0.043439083,0.043832894
17x11,0.018397802,0.034718186,0.02840809,0.039330598,0.8177691,0.031981412,0.029394776
17x12,2.3703702e-05,0.15518814,0.06754725,4.2861793e-05,0.13995136,0.13461824,0.50262845
17x13,5.8684007e-05,0.100234956,5.3587566e-05,0.000103434315,0.8993708,3.8999602e-05,0.00013953996
17x14,0.00046622378,0.09085651,0.76622635,0.0013226435,0.13776511,0.0022522113,0.0011109203
17x15,0.30312243,0.06383195,0.2082358,0.042392697,0.25379053,0.00033089065,0.12829567
