,T,Mal,B,Macro,Endo,CAF,NK
7x15,0.23989000033809837,0.16722520867489585,0.4553300737450919,0.13705142718554766,0.00019596828964009563,0.00011231889248500669,0.00019500287424112069
7x16,0.3236464989580619,0.050787181476706376,0.026829803400710023,0.44831652878770284,0.13246409925801161,0.009880679187860225,0.00807520893094704
7x17,0.04535636259596399,0.025801332650911238,0.04754411678893151,0.030924403925195743,0.0001032218488600726,2.0068133643398582e-05,0.850250494056494
7x18,0.3816605178881247,0.19246649435602942,0.4209997326292465,0.0006935576684081557,0.0014582579678110391,0.0007832398877684118,0.0019381996026117722
8x13,0.6175295731068187,0.10969571667312697,0.2179766104331214,0.007962095371920963,0.0019199123882906925,0.04374363698823156,0.0011724550384897504
8x14,0.2387271201790892,0.07914911664207797,0.0336062340750917,0.6259178987293474,0.0034438234915665786,0.019059296664213965,9.651021861315501e-05
8x15,0.09041246794841343,0.08222412024724665,0.006765789417197405,0.3325546271810678,0.00044547907793149056,0.06275398383854294,0.42484353228960026
8x16,0.3799960976269398,0.2268630778028638,0.3052386362730417,0.07890010594032683,0.002793678260973353,0.002355088555261994,0.0038533155405924627
8x17,0.1525049517850559,0.00037337680528172257,0.5475735982782801,0.1666811413394029,0.0013828098365240417,0.13126502011911667,0.00021910183633861338
8x18,0.27930111129627316,0.06890165099172757,0.1483161792948199,0.19270023475887477,0.0033568108207276018,0.29706642317507675,0.010357589662500223
8x19,0.3645514385693376,0.2020320706551225,0.4228262773656077,0.007923295914158806,0.0011565831714846107,0.0009151371522553963,0.0005951971720334221
9x13,0.2543545384625389,0.003113610509048274,0.14244834038486792,0.3103991629648996,0.04731318464549863,0.24041531702724192,0.001955846005904722
9x14,0.11446142219926754,0.011802588424143981,0.06643696895821669,0.26119945035449055,0.12389021564503487,0.142519379764539,0.2796899746543074
9x15,0.2571161232533559,0.04930357503281916,0.22329226805408092,0.46711030600428133,0.0001367309750095457,0.0016682730938498294,0.0013727235866033067
9x16,0.18119080984684835,0.09683219123624329,0.0024963226738071555,0.42758359858273387,0.17061583662088328,2.6464296164804042e-05,0.12125477674331926
9x17,0.11505243837042202,0.00024889214419669805,0.4320675048881277,0.14034102737538656,0.2968972911409878,0.015233241113830388,0.00015960496704887963
9x18,0.1424758390268696,0.08653367065135552,0.04172780137374696,0.12636983093916698,0.31404204402771174,0.2887121891889549,0.00013862479219427595
10x13,0.2390224940116404,0.13051239093540346,0.1756758776307706,0.14946612031437437,0.19584340129072256,0.10908096353239055,0.00039875228469806123
10x15,0.1627073437445451,0.20460298618535072,0.08446707190415763,0.27503196163124305,0.11088737238845851,0.16221430250064017,8.896164560480963e-05
10x16,0.1131715354167046,0.0009575453263762608,0.15411126280779236,0.3696980786921675,0.02504135888130006,0.3353674423561741,0.0016527765194851364
10x17,0.14732196556141694,0.0359250599969075,0.22701863180057744,0.27114886157246176,0.04125015248714588,0.2761954831814814,0.001139845400009058
10x18,0.06650927494137765,0.0778860223239241,0.029340484237846645,0.25524699395706024,0.0022460145243315354,0.5684646205506254,0.0003065894648343544
11x12,0.19996707574212708,0.013612522422277153,0.3920262909541977,0.032357334233673894,0.344302325910353,0.004465421202448527,0.013269029534922629
11x13,0.2200412691005458,0.01287800147339074,0.34511138936410607,0.10771481346034595,0.17152129671261696,0.14149459417794505,0.0012386357110494776
11x14,0.2593118894467057,0.43047325292059013,0.0729932643958344,0.23010759122615435,0.0009768666512911413,0.00030615549345263825,0.005830979865971674
11x15,0.21555529479840363,0.33449234016838714,0.01205840445772281,0.22648527429809823,5.607330392625013e-05,1.8913712394924346e-05,0.21133369926106702
11x16,0.16984137414890513,0.169770655193618,0.1537588227305765,0.23672206116344163,0.10425677436524468,0.1653207970511598,0.00032951534705425237
11x17,0.1075556788943096,0.06476207715017428,0.11516464705692461,0.23805773152613058,0.009542367378601242,0.46470314475375923,0.00021435324010046677
12x12,0.2011614477832899,0.15159977929872803,0.13719651143772982,0.08149376064919417,0.0009613391629218679,0.000625646249724597,0.42696151541841165
12x13,0.22482349367253676,0.26803048367435095,0.24776323361568037,0.19674178358980504,0.05877238624906518,0.0034551080486791416,0.00041351114988257063
12x14,0.23113584411018076,0.4112808920254177,0.18141304494962107,0.062339737721487716,0.1104256974911287,0.0004036259330154754,0.0030011577691485963
12x15,0.24448992685740667,0.30951920469420874,0.14295335825049146,0.30083302670291123,0.0018039630476252163,0.0001295677915626565,0.0002709526557940222
12x16,0.09064749293031502,0.0019160077884945845,0.051853874156290974,0.32974973510761874,0.027436423560522737,0.07053861020031328,0.4278578562564446
12x17,0.07568567276377267,0.02106758614697336,0.12376247202112467,0.24562922640137277,0.0014417140580543378,0.3751360860469104,0.15727724256179182
13x11,0.3030060341237242,0.3262400077920649,0.18846298648431153,0.17971469576049728,0.0017560840303823663,0.0004499254505375295,0.00037026635848220704
13x12,0.2954387394087686,0.5557717342262323,0.14310842850932037,0.002546469571588526,0.0021460504914282514,0.00012058863128839355,0.0008679891613735478
13x13,0.3443391603904405,0.604218543591854,0.03455168520137661,0.00610565172910985,0.008036951015494561,0.0002689597902561404,0.002479048281468333
13x14,0.20631619217975336,0.17358830329339064,0.19871751544701516,0.41911886899955414,0.00015374408880975584,0.0020108346406773844,9.454135079955923e-05
