"","Astro","Endo","Excitatory L2/3","Excitatory L4","Excitatory L5","Excitatory L6","Inhibitory Other","Inhibitory Pvalb","Inhibitory Sst","Inhibitory Vip","Micro","Neuron Other","Olig","Other","Smc"
"0x0",0.276149374254098,0,0.420352884673686,0,0,0,0,0,0.258892985169678,0.0252401154134786,0,0.0190694438304296,0.000295196658630703,0,0
"0x1",0.321267350706079,0.00438761791287284,0.376628048473126,0,0,0,0,0.0172848612756147,0.119614887659457,0.0154047358520973,0,0.00132867342321124,0.126247688217482,0,0.0178361364800591
"0x2",0.107344783568988,0,0.177980105381352,0,0,0,0,0.0457076250368337,0,0.00940092190323949,0,0,0.658753184199175,0,0.000813379910412511
"0x3",0.200084414249648,0,0.120246724508812,0,0,0,0,0.0206510620290837,0,0.00624518450129222,0,0,0.642857259319489,0,0.0099153553916751
"0x4",0.147852874549437,0,0.513482965803851,0,0,0.0238415441932443,0.0458045018017315,0.0160154137492881,0.0608168956608666,0.013499437754062,0,0.0234139539655626,0.148160419673638,0,0.00711199284831892
"0x5",0.202909940018226,0,0.644122238435024,0,0,0.0492496271735592,0,0.0292431106711205,0,0.0441586225549862,0,0.0125789852657322,0.0149607477671659,0,0.00277672811418539
"0x6",0.179252462242625,0,0.612189076266182,0,0,0.0345670473919521,0,0.0551366693890437,0,0.0468387742356313,0,0.0133149271871719,0.0585679729754477,0,0.000133070311945989
"0x7",0.211507634570438,0,0.579229809097892,0,0,0,0,0.0495089499857241,0,0.0465161704523423,0,0.00600292218603492,0.10210513528124,0,0.00512937842632947
"0x8",0.207436555450434,0,0.493359210631522,0,0,0,0,0.117541880483493,0,0.0394617598555013,0,0.0129955508262939,0.129205042752755,0,0
"0x9",0.209292923676741,0,0.45345093033579,0,0.0790162614253885,0,0,0.0586556156317113,0,0.0214973592133836,0,0.00656556514015509,0.166660699628792,0,0.00486064494803901
"0x10",0.219338294553677,0,0.545740233407138,0,0,0,0,0.139895899216305,0,0.0860177097440735,0.00405621284421011,0.00159292164077838,0.00335872859381784,0,0
"0x11",0.203596959997815,0,0.622111311491903,0,0,0,0,0.0421284183645877,0.0566639248983767,0.0273660481566291,0.0195573001412483,0.0142213871554041,0.00890753216737512,0,0.00544711762666106
"0x12",0.205117812077408,0,0.713627866913236,0,0,0,0,0.0153427408597285,0,0.0500434096815411,0.00411144992099865,0,0.00360621520789922,0,0.0081505053391889
"0x13",0.187550591867438,0,0.76959650751673,0,0,0,0,0,0,0.0334982867282521,0,0,0.00675246860870397,0,0.00260214527887578
"0x14",0.156599634443876,0,0.611439007382576,0,0,0,0,0,0.213515216020689,0,0.00740084857963882,0,0.000475482055950669,0,0.0105698115172702
"0x15",0.234708243920041,0,0.693864713341307,0,0,0,0.00214082220343201,0.0423342228569834,0,0.00430458357002082,0.000439610218499426,0.0109951785595463,0.000147060157802923,0,0.0110655651723676
"0x16",0.264515258283072,0.00429980059808099,0.640295196682465,0,0,0,0,0.0245421728481299,0,0.0410130448498061,0.00263556959605493,0.00200657445372458,0.0145866150412946,0,0.00610576764737203
"0x17",0.187386580941806,0,0.666636971671177,0,0,0,0.0230491579915151,0.0158710185638424,0,0.0887086689881788,0,0.0120979816961928,0.00384384823400776,0.00141419030822142,0.000991581605059389
"0x18",0.26222516345683,0,0.466275627748033,0,0,0,0,0.0196943174242538,0,0.0376600705548944,0.208264116274108,0,0,0,0.00588070454188095
"1x0",0.395104888288175,0,0.274652044444816,0,0,0,0,0.15841672065443,0,0.157970675314138,0,0,0.0061569390199263,0,0.00769873227851556
"1x1",0.345173914779606,0,0.227712006354052,0,0,0,0,0,0.280436298207312,0,0,0,0.146677780659029,0,0
"1x2",0.169154608872436,0,0.183014894614748,0,0,0,0,0.0307177124896286,0,0,0,0,0.61360221411038,0,0.00351056991280864
"1x3",0,0,0.0973291603854242,0,0,0,0,0,0,0,0,0,0.902670839614576,0,0
"1x4",0.223251899392873,0,0.580032166790504,0,0,0,0,0.073136472959833,0,0.0321038823873682,0,0.00674478224822331,0.0794013593065948,0,0.00532943691460301
"1x5",0.180160083233578,0,0.567739464224561,0,0,0.0126264066974391,0,0.135095617037785,0.00541509214020459,0.0698456776394649,0,0.0117830818075546,0.0108084836692951,0,0.00652609355011778
"1x6",0.157132843984588,0,0.587417513701768,0,0,0.134395082354131,0,0.0436997993828489,0,0.029850080435029,0,0.0286978468756901,0.00926061048310878,0,0.00954622278283647
"1x7",0.186610839924467,0,0.615815926290261,0,0.00150186018025713,0,0,0.0798033576994806,0,0.0101010317390998,0,0.0199353935477294,0.0674263419717367,0,0.0188052486469679
"1x8",0.165543165374786,0,0.633623877553281,0,0,0,0,0.1210985881839,0,0.0258730826475111,0,0,0.0538612862405218,0,0
"1x9",0.194823143671057,0,0.384994201408713,0,0,0,0,0.108917856758428,0.00615701467023677,0.00962694055944558,0,0,0.29548084293212,0,0
"1x10",0.304412413835404,0.0605431318914068,0.491037867243739,0,0.000934977229284529,0,0,0.0675827536898304,0,0.047574659417625,0,0.0148599271063179,0.0130542695863923,0,0
"1x11",0.236687283833529,0.0687573523355031,0.557227382305824,0,0,0,0,0.0765840027986625,0,0.0178578836678389,0.00616956690433004,0.0171394191160914,0.0120265364454916,0,0.00755057259272999
"1x12",0.208435151239245,0.0514007805542132,0.549621892764771,0,0,0,0,0.111476231925542,0,0.0142277285949918,0.0203709864887831,0,0.0250842075116819,0,0.0193830209207714
"1x13",0.279459350932964,0.0704242870890739,0.590086350684403,0,0,0,0,0.0485479751551329,0,0,0,0,0.00310003074918732,0,0.00838200538923838
"1x14",0.25767682152964,0.0408625645517622,0.604905059977949,0,0,0,0,0.0314712874163594,0,0.0156602923151804,0,0,0.0393363597104708,0,0.0100876144986379
"1x15",0.231067999679712,0.00813237534542125,0.711518231693161,0,0,0,0,0.0337049351263968,0,0,0,0.00269403072140956,0.000530018592565055,0,0.012352408841334
"1x16",0.175210116185604,0.0215348550621378,0.526052208746066,0,0,0,0.0064222647951383,0.128112175552809,0,0.0404151503023257,0.0258559715399639,0.0118634577261248,0.0535369167884849,0,0.0109968833013446
"1x17",0.248088477490852,0.0351602450643869,0.59606917627972,0,0,0,0,0.0246631109976797,0,0.0273872931105583,0.0386211857053649,0.0116100928085491,0.00225504216508166,0.001484223482651,0.0146611528951561
"1x18",0.377262500836516,0.0509837788943255,0.349127350031539,0,0,0,0,0.131245431233679,0,0.0565987411812074,0,0,0.0115239868753343,0,0.0232582109473983
"2x0",0.205863406303282,0,0.649006905956415,0,0,0,0,0.0619924681088463,0,0.0831372196314561,0,0,0,0,0
"2x1",0.0403498351818172,0,0.195058348368511,0,0,0,0,0.0547122101619464,0,0.0106040795284277,0,0,0.699275526759298,0,0
"2x2",0.124400080374038,0,0.102297983531542,0,0,0,0,0.0226203751778684,0,0.030675324265633,0,0,0.720006236650919,0,0
"2x3",0.252669048253647,0.0262653750773684,0.216668254806221,0,0,0,0,0.0315783017015042,0,0.00551290843305159,0,0,0.459361239937816,0,0.00794487179039077
"2x4",0.202364281696158,0,0.547460465738759,0,0,0.0299994373236865,0,0.0485595390775319,0,0.03208507480998,0,0.0174796872689045,0.118385392256665,0,0.00366612182831515
"2x5",0.20936012461911,0,0.620032992947222,0,0,0.0684143684311129,0,0.047835604494334,0,0.0304896981327558,0,0.0156831816936271,0.00545046915621364,0,0.00273356052562539
"2x6",0.209074097675186,0,0.565693563120393,0,0,0,0,0.121782571373387,0,0.0237437495561073,0,0.0172129878135252,0.0624930304614012,0,0
"2x7",0.322871429378446,0,0.507945274598171,0,0,0,0,0.057484999338378,0,0.0222400899930787,0,0,0.0853193167347034,0,0.00413888995722314
"2x8",0.269074685475223,0,0.46934576583932,0,0.0246611813790997,0,0,0.046916902400926,0.0119183715771911,0.0180242998827675,0,0.0201694805615092,0.136673736977065,0,0.00321557590689896
"2x9",0.203354535632105,0,0.595405166028248,0,0,0,0,0.0993678878347139,0,0.0766572600045281,0,0,0.0170991968408025,0,0.00811595365960236
"2x10",0.236318370430895,0,0.620941763926171,0,0,0,0,0.103935162630174,0,0.0310414805252392,0,0,0.00604564720212046,0,0.00171757528540045
"2x11",0.223638970337242,0,0.652815367259731,0,0,0,0,0.0779936995176639,0,0.0274846231911299,0,0.00279446519945949,0.00749385209153599,0,0.00777902240323819
"2x12",0.211457736500408,0,0.541932819287194,0,0,0,0,0.151795829857295,0,0.0184645983080199,0.00927947113898653,0.00710425465457098,0.0530672541370538,0,0.0068980361164721
"2x13",0.233100170522562,0.00703138671154552,0.630875352196118,0,0,0,0.10564493558278,0.000696243793264531,0,0.009743406497747,0,0,0.00913770849994971,0,0.00377079619603379
"2x14",0.190511779005667,0,0.587628371032845,0,0,0,0.0640407070628326,0.148323513766574,0,0.0075487044477344,0,0,0,0,0.00194692468434685
"2x15",0.15914812042289,0,0.708449402660097,0,0,0,0,0.00180701084675386,0,0.0409728497455691,0,0,0.0857490792751757,0,0.00387353704951459
"2x16",0.172367128347604,0,0.633548129718036,0,0,0,0,0,0.179504756420497,0.00552469322574214,0,0.00796259386026619,0.000113724759438102,0,0.000978973668417433
"2x17",0.364469910116294,0,0.345109042748499,0,0,0,0.275238204873307,0,0,0,0,0,0,0,0.0151828422618998
"2x18",0.559950376950324,0.0630378503871734,0.216428275682665,0,0,0,0,0.109195156765004,0,0.0220671976049228,0,0,0.00713103169490392,0,0.0221901109150071
"3x0",0.169419874803277,0,0.500119531311152,0,0,0,0,0.0245997073561565,0,0.0219687750991205,0,0.0166539580937165,0.267238153336577,0,0
