,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
400_27600,0.36559140086174013,0.07857535295188428,0.08463615886867047,0.09182562381029129,0.1207694835960865,0.07778925746679306,0.19190881103277208,0.1158654049038887,0.062042804248631005,0.06533262617886067,0.34519198089838027
400_28400,0.42826894819736483,0.2591177672147751,0.24312524646520614,0.36384007185697553,0.3241425320506096,0.6791746735572816,0.34895842224359513,0.3121959239244461,0.34935526847839354,0.18874185681343078,0.4014292761683464
400_29200,0.02086177570745349,0.01010212916880846,0.01043147249147296,0.03167489897459745,0.029355717916041614,0.019939486868679523,0.012323138304054737,0.022597142029553652,0.013273046212270856,0.0037059271940961484,0.008705423865467311
400_30000,0.21367726624011993,0.08249711357057095,0.10488674268126488,0.15771206766366958,0.12172453366219997,0.09029204435646535,0.16248953863978385,0.14825623780488967,0.07207131385803223,0.05745684541761875,0.5904196262359619
400_30800,0.10940699689090252,0.060065672360360624,0.05623933281749487,0.22638887912034988,0.11602243483066559,0.057048015482723716,0.13331867679953574,0.19021149277687072,0.013440412376075983,0.017085689771920442,0.03844955954700709
400_31600,0.6730620056390763,0.28392282873392105,0.2399784542620182,0.2075906865298748,0.24105909317731858,0.2827702060341835,0.5583088546991348,0.2903416618704796,0.16016951873898508,0.12218951322138309,0.25074216425418855
400_32400,0.6616744875907898,0.26670773029327394,0.278753899037838,0.2774763822555542,0.4350966110825539,0.34724889099597933,0.46686683744192126,0.32088891267776487,0.3575368568301201,0.7147653460502624,0.5227402001619339
400_33200,0.14692313075065613,0.11146100237965584,0.13921817541122436,0.1460638239979744,0.1330723747611046,0.3409294545650482,0.16497465148568152,0.16594015136361123,0.06358701027929783,0.06614548861980439,0.22574982568621635
400_34000,0.3945017844438553,0.2780090391635895,0.232364272326231,0.27435479164123533,0.24990202262997627,0.721323823928833,0.2931241601705551,0.27890696823596955,0.10249584689736367,0.10146388597786427,0.37494274228811264
400_34800,0.4104796007275581,0.34307573139667513,0.30625504404306414,0.3903119847178459,0.30953547209501264,0.6614903569221496,0.39880939573049545,0.3553041160106659,0.3752962902188301,0.27593654245138166,0.49483305513858794
400_35600,0.28889558762311934,0.2000493586063385,0.21229296326637268,0.22033903747797012,0.21561917588114737,0.27242734730243684,0.26560375839471817,0.1962072417140007,0.23028998002409934,0.13535379320383073,0.18131895884871482
400_36400,0.22550349161028863,0.17942794859409333,0.17106162533164024,0.18862437680363656,0.1320030614733696,0.14469949081540107,0.23086413070559503,0.14090800434350967,0.371694016456604,0.1801387533545494,0.1615521118044853
400_37200,0.3887308493256569,0.19592522010207175,0.23314662873744965,0.29909075051546097,0.2900979518890381,0.23414772674441336,0.2561404600739479,0.19826378673315048,0.1934846192598343,0.13253957405686378,0.23965021595358849
400_38000,0.3160830274224281,0.1716872423887253,0.1753147639334202,0.2256510339677334,0.2607276350259781,0.2093203105032444,0.23154810443520546,0.19726616218686105,0.32019172310829164,0.1308441072702408,0.47155777215957645
400_38800,0.04172594081610441,0.03975791074335575,0.05407102480530739,0.11157667115330697,0.053759345598518846,0.03641549982130528,0.040697418712079526,0.03828890770673752,0.1962605632841587,0.07370416447520256,0.05902878809720278
400_39600,0.3489022895693779,0.167596947401762,0.1756287172436714,0.2538107424974442,0.2663803681731224,0.18184136971831322,0.29390317052602766,0.20212690234184266,0.2989902034401894,0.16703703254461288,0.4708639785647392
400_40400,0.5313642889261245,0.24955193996429442,0.13880933076143265,0.13353039622306825,0.14556234702467918,0.18294122219085693,0.24737050980329514,0.13658006265759468,0.0550883274525404,0.07751143127679826,0.17268649488687515
400_41200,0.5664016246795655,0.46104494035243987,0.31053705513477325,0.3348017856478691,0.3961896911263466,0.4102326825261116,0.509788504242897,0.3438450530171394,0.38116001933813093,0.3604830324649811,0.7352930814027786
400_42000,0.20789246559143065,0.2164534568786621,0.12499667890369892,0.13581739589571953,0.16240876242518426,0.08883796185255051,0.17657287716865538,0.13563903719186785,0.033974634297192094,0.04219697155058384,0.12879157140851022
400_42800,0.07926735393702984,0.09866174347698689,0.13236778676509858,0.14204166680574418,0.10613448023796082,0.044032844714820385,0.09508713819086552,0.06585415191948414,0.01611283663660288,0.017253192607313395,0.031968625262379646
400_43600,0.22675581201910971,0.14276620671153067,0.15138382837176323,0.18622213900089266,0.19884708523750305,0.07174611687660218,0.14833494350314141,0.12528591006994247,0.04685501903295517,0.05929760858416558,0.08085231631994247
400_44400,0.3630894482135773,0.21419126614928247,0.17376709952950478,0.22035736218094826,0.2504433125257492,0.29728248417377473,0.2599371954798698,0.20637308359146117,0.2370699889957905,0.14556479826569557,0.40075941383838654
400_45200,0.2756166160106659,0.13291397765278817,0.10212520547211171,0.12021346613764763,0.2301136150956154,0.13036978244781494,0.21593897491693498,0.1332864820957184,0.1315644256770611,0.07140041813254357,0.14118300676345824
400_46000,0.10046978443861009,0.05221656430512667,0.0457709051668644,0.05705620739609003,0.06733465120196343,0.046053847298026085,0.07993934489786625,0.0636978343129158,0.048377028293907644,0.02204379066824913,0.1898750513792038
400_46800,0.03240834660828114,0.013621593033894897,0.01775303268805146,0.03916084654629231,0.038030747510492804,0.014548836182802916,0.019733650237321855,0.024043149966746568,0.004677032120525837,0.011263054748997092,0.010298486845567823
400_47600,0.1411704786121845,0.07275864519178868,0.10120305866003036,0.3666303753852844,0.12505394481122495,0.08782494850456715,0.1576656609773636,0.15270261615514755,0.02941540786996484,0.03207170907407999,0.2426644280552864
1200_26000,0.23062479943037034,0.09038331247866153,0.07112501859664917,0.09603734090924264,0.07893623784184456,0.1085992731153965,0.20081722214818,0.11130483075976372,0.03391724396497011,0.05756795182824135,0.33686470091342924
1200_26800,0.07388402372598649,0.03561107702553273,0.03815093506127596,0.08251872844994068,0.09640451036393642,0.09272246286273003,0.0589368911460042,0.09186428189277648,0.029283973947167398,0.01744225425645709,0.17528903037309648
1200_27600,0.27954528480768204,0.11028370261192322,0.14010330140590668,0.24958340600132942,0.1307172432541847,0.18150665014982223,0.19323817491531373,0.17264676466584208,0.1451496347784996,0.06948753967881202,0.5688250213861465
1200_28400,0.2903339430689812,0.1882556088268757,0.17910658419132233,0.1887388415634632,0.17125575691461564,0.15286498814821242,0.244617260992527,0.15583018809556962,0.27419843673706057,0.10810630731284618,0.5568801134824752
1200_29200,0.1520815260708332,0.13507459908723832,0.15324989184737206,0.20067744851112365,0.12390263527631759,0.13490714356303216,0.16484244093298914,0.12426494918763638,0.08802884072065353,0.5717541843652725,0.45345828533172605
1200_30000,0.09229301102459431,0.07561232484877109,0.09944663196802139,0.18890632763504983,0.10602834261953831,0.07595901601016522,0.10781849026679993,0.11925133951008321,0.02433289680629969,0.07161551043391227,0.33584755957126616
1200_30800,0.17914292514324187,0.11147459670901298,0.1464447170495987,0.2045928992331028,0.12331214733421803,0.16333333104848863,0.25195846855640414,0.2478738881647587,0.04297141674906015,0.0528318116441369,0.17135196924209595
1200_31600,0.8056124567985534,0.17381163462996482,0.18367932289838793,0.18199158683419228,0.23016006723046303,0.2271992288529873,0.3729285925626755,0.23152933344244958,0.25689235627651213,0.11765897236764432,0.35340897738933563
1200_32400,1.159494298696518,0.6107988655567169,0.5210274696350098,0.593038547039032,0.9459628909826279,1.2056411862373353,1.0006666958332062,0.6849939107894898,0.31712738126516343,0.3645357310771942,0.8607829868793487
1200_33200,0.9298976540565491,0.5175410002470017,0.4860392689704895,0.5045296281576157,0.7099100589752197,0.8130460947751998,0.7178942501544953,0.555307713150978,0.3834807679057121,0.3584462881088257,0.4745513916015625
1200_34000,0.7064703315496444,0.5728655308485031,0.5302737176418304,0.6093335896730423,0.5710563868284225,0.9625489085912704,0.7732405036687852,0.549287861585617,0.5231891512870789,0.8243507355451584,0.5091667771339417
1200_34800,0.4819546788930893,0.4248369812965393,0.3577228575944901,0.38797660917043686,0.3715246871113777,0.5414588272571563,0.5163044661283493,0.41293436735868455,0.21549839600920678,0.25191038101911545,0.7230362623929978
1200_35600,0.3850637525320053,0.3236065685749054,0.276697513461113,0.2538288474082947,0.2916975304484367,0.336429637670517,0.4131494477391243,0.2795454829931259,0.1281302124261856,0.1008844330906868,0.22433302626013757
