,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
400_27600,8.42E-02,6.19E-02,1.58E-01,6.08E-02,4.00E-02,2.56E-02,1.50E-01,3.52E-03,7.35E-02,8.50E-02,2.57E-01
400_28400,1.57E-01,4.40E-02,1.82E-01,5.07E-02,4.43E-02,6.46E-02,1.23E-01,1.22E-02,1.21E-01,1.24E-01,7.82E-02
400_29200,2.26E-01,2.41E-02,1.52E-01,5.78E-02,3.51E-02,1.10E-01,7.39E-02,1.83E-02,1.98E-01,6.76E-02,3.67E-02
400_30000,1.36E-01,6.06E-02,1.92E-01,9.50E-02,4.93E-02,3.35E-02,8.06E-02,9.66E-03,1.66E-01,6.22E-02,1.16E-01
400_30800,5.01E-02,2.08E-01,1.20E-01,5.54E-02,6.61E-02,9.27E-03,2.06E-02,3.53E-03,1.22E-01,6.32E-02,2.81E-01
400_31600,2.02E-02,8.25E-02,1.31E-01,2.37E-02,5.78E-02,7.20E-03,1.22E-01,2.19E-03,1.71E-02,6.26E-02,4.73E-01
400_32400,8.99E-02,7.30E-02,7.88E-02,1.56E-01,2.13E-02,6.01E-02,1.06E-01,7.08E-03,1.80E-01,9.16E-02,1.36E-01
400_33200,6.93E-04,2.55E-02,2.00E-03,5.49E-03,9.41E-04,2.10E-04,1.04E-03,5.44E-05,9.33E-01,9.72E-03,2.13E-02
400_34000,1.24E-04,3.18E-03,5.41E-04,1.03E-03,1.44E-04,5.60E-05,3.06E-04,1.15E-05,9.90E-01,2.18E-03,2.65E-03
400_34800,2.03E-02,4.97E-02,5.45E-02,5.24E-02,1.60E-02,4.13E-02,4.01E-02,4.88E-03,5.86E-01,6.73E-02,6.77E-02
400_35600,4.53E-02,8.34E-02,8.71E-02,8.51E-02,3.60E-02,7.32E-02,7.20E-02,1.08E-02,2.64E-01,1.21E-01,1.21E-01
400_36400,9.64E-02,3.05E-02,1.87E-01,6.99E-02,4.49E-02,1.88E-01,1.15E-01,2.53E-02,3.29E-02,1.30E-01,8.05E-02
400_37200,3.19E-02,8.69E-02,1.39E-01,6.57E-02,6.02E-02,5.73E-02,1.74E-01,1.81E-02,7.89E-02,1.20E-01,1.68E-01
400_38000,2.39E-02,3.45E-02,1.97E-01,4.06E-02,5.15E-02,5.41E-02,3.64E-01,2.44E-02,5.78E-02,8.37E-02,6.81E-02
400_38800,6.12E-02,9.67E-02,4.62E-02,9.45E-02,1.97E-02,1.18E-01,1.86E-02,3.64E-03,1.44E-01,9.79E-02,3.00E-01
400_39600,1.22E-01,5.13E-02,1.40E-01,9.35E-02,4.41E-02,1.40E-01,9.43E-02,2.14E-02,6.00E-02,1.17E-01,1.16E-01
400_40400,2.04E-02,2.34E-02,3.14E-01,1.92E-02,5.90E-02,2.26E-02,3.27E-01,1.02E-02,2.68E-02,1.12E-01,6.59E-02
400_41200,1.74E-01,4.35E-02,1.88E-01,5.29E-02,4.31E-02,8.66E-02,1.23E-01,1.49E-02,6.65E-02,1.11E-01,9.62E-02
400_42000,3.29E-02,6.10E-02,2.82E-01,1.61E-02,7.87E-02,1.17E-02,6.26E-02,5.12E-03,2.66E-02,2.42E-01,1.82E-01
400_42800,3.88E-03,1.02E-01,1.11E-01,1.19E-02,5.83E-02,3.22E-03,4.53E-02,2.83E-03,6.51E-02,3.45E-01,2.51E-01
400_43600,9.13E-03,4.28E-02,1.48E-01,2.47E-02,5.92E-02,2.78E-02,2.84E-01,1.32E-02,4.64E-02,2.16E-01,1.28E-01
400_44400,2.20E-02,3.07E-02,1.69E-01,3.67E-02,4.26E-02,4.88E-02,3.77E-01,2.06E-02,9.78E-02,1.08E-01,4.70E-02
400_45200,9.86E-03,2.29E-02,1.26E-01,2.34E-02,3.46E-02,3.64E-02,4.36E-01,1.13E-02,4.10E-02,1.96E-01,6.15E-02
400_46000,2.67E-02,2.22E-02,1.54E-01,3.18E-02,3.66E-02,9.75E-02,3.17E-01,1.45E-02,3.86E-02,1.79E-01,8.31E-02
400_46800,9.25E-03,4.90E-02,1.39E-01,2.47E-02,6.63E-02,2.53E-02,2.83E-01,1.49E-02,4.48E-02,2.08E-01,1.36E-01
400_47600,2.73E-02,2.84E-01,7.37E-02,6.15E-02,6.07E-02,5.87E-03,1.53E-02,2.51E-03,9.07E-02,5.03E-02,3.28E-01
1200_26000,1.29E-01,4.12E-02,1.62E-01,7.15E-02,3.15E-02,3.58E-02,1.79E-01,4.94E-03,1.36E-01,9.78E-02,1.11E-01
1200_26800,1.28E-01,7.27E-02,1.56E-01,8.81E-02,4.25E-02,3.12E-02,4.32E-02,6.85E-03,2.84E-01,4.41E-02,1.04E-01
1200_27600,1.17E-01,6.79E-02,2.48E-01,8.98E-02,5.92E-02,2.94E-02,6.58E-02,9.17E-03,1.40E-01,5.10E-02,1.24E-01
1200_28400,7.84E-02,1.93E-02,1.41E-01,4.37E-02,2.94E-02,2.29E-01,1.41E-01,1.43E-02,5.72E-02,1.90E-01,5.63E-02
1200_29200,2.86E-02,1.03E-01,1.25E-01,2.00E-01,3.85E-02,5.09E-02,1.19E-01,1.57E-02,7.47E-02,1.44E-01,1.00E-01
1200_30000,4.88E-02,1.89E-01,9.02E-02,1.05E-01,5.98E-02,1.37E-02,3.42E-02,6.84E-03,1.72E-01,7.98E-02,2.00E-01
1200_30800,2.84E-02,1.73E-01,1.50E-01,6.49E-02,7.89E-02,7.04E-03,3.77E-02,3.24E-03,5.46E-02,7.97E-02,3.23E-01
1200_31600,3.75E-02,7.30E-02,1.91E-01,4.32E-02,6.97E-02,2.22E-02,1.89E-01,8.64E-03,6.24E-02,7.33E-02,2.30E-01
1200_32400,7.41E-02,9.15E-02,1.01E-01,5.91E-02,3.06E-02,2.00E-02,1.42E-01,3.71E-03,1.72E-01,1.13E-01,1.93E-01
1200_33200,1.55E-02,6.34E-02,9.86E-02,3.86E-02,3.66E-02,2.34E-02,1.25E-01,7.60E-03,3.50E-01,1.34E-01,1.08E-01
1200_34000,1.80E-02,9.89E-02,1.07E-01,7.83E-02,3.42E-02,3.34E-02,4.88E-02,8.09E-03,3.52E-01,1.03E-01,1.19E-01
1200_34800,1.72E-02,5.69E-02,4.56E-02,2.84E-02,1.90E-02,1.24E-02,3.24E-02,2.36E-03,4.08E-01,2.72E-01,1.06E-01
1200_35600,1.37E-02,4.66E-02,7.33E-02,2.24E-02,2.74E-02,1.24E-02,5.12E-02,3.39E-03,3.85E-01,2.84E-01,8.07E-02
1200_36400,6.78E-02,3.11E-02,1.66E-01,6.13E-02,4.18E-02,1.69E-01,1.59E-01,2.20E-02,3.89E-02,1.56E-01,8.70E-02
