barcodes,L2-3 IT CTX-1,L4-5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
400_27600,9.247107816432289e-5,0.0029100015613006645,9.247107816406279e-5,9.24710781643127e-5,9.24710781196652e-5,9.247107816431278e-5,9.24710781241971e-5,0.934918072785311,0.057139552636318924,0.001384995951170381,0.0030925505969983296
400_28400,1.6466634985377607e-5,1.8099406104820184e-4,1.3370775572727505e-5,1.3833850005795413e-5,1.3370775572682844e-5,0.1556307952634287,0.015283555575443924,0.8142052262991382,0.012793118947051003,5.639754026159357e-4,0.0012852924151374033
400_30000,1.407523468146326e-4,1.407523468456277e-4,1.407523468115503e-4,0.03816134996556664,1.4075234686500326e-4,1.4075234681154596e-4,0.03773628344848466,0.8721420689458769,0.04560388328965472,1.4075234676496086e-4,0.005511900269503893
400_30800,7.294706729367712e-5,7.294706729025058e-5,7.294706729377125e-5,0.03698518427342107,7.29470672913596e-5,7.294706729370269e-5,7.294706728891219e-5,0.9476015558607744,0.014635435405758093,7.294706725773399e-5,2.6719498903693016e-4
400_31600,1.5329014042670986e-4,1.532901403929361e-4,1.5329013889799745e-4,1.696576002242724e-4,1.5329014041130584e-4,1.833905401251895e-4,1.5329014042465754e-4,0.8944584638395201,0.09026696830550648,1.5329014060020026e-4,0.014001778873470209
400_32400,3.7818173192903203e-4,8.483523520539178e-5,8.48352381670824e-5,8.483523710838643e-5,1.6677562930452763e-4,2.0782609809363525e-4,8.483523821863514e-5,0.8291842907236519,1.2497880881686137e-4,0.1581533866995913,0.01144521935991334
400_33200,4.114068012309686e-4,4.261153386494598e-5,4.261153386844022e-5,6.596082302939602e-5,4.261153386843399e-5,0.15540306863715378,0.028012838758453625,0.7775042189269293,0.028642856913473676,4.26115338712593e-5,0.009789203004256099
400_34000,0.1828721990054147,1.7562153811718023e-5,1.756215410995515e-5,1.7562154108064287e-5,1.756215410835075e-5,0.017923441912095776,0.17435537856417097,0.5770758221158262,0.03305735164023866,1.7562176698580964e-5,0.014627995969417029
400_34800,0.133936346632032,6.481619903009606e-6,6.481619388887365e-6,1.0427960832739617e-5,6.48161938893504e-6,0.17623956096691937,0.04240684325781046,0.4839492107375941,0.15802627691798637,0.005090832817309755,3.210558508341981e-4
400_35600,0.14224494740152463,1.7120780980243758e-5,3.6486212754429135e-5,1.7120780992466098e-5,1.7120780992476374e-5,0.22981472414097562,0.12528646405677307,0.34949278164821385,0.15271222027513245,1.712078105999102e-5,3.438931406009424e-4
400_36400,0.02299473060165037,0.42152356762247084,1.1204624265773324e-4,0.13914897602664575,1.1204624265775331e-4,0.02580460128826073,1.120462426581887e-4,0.18216640365962264,0.19930609573411698,0.008590598152806732,1.2888818645221585e-4
400_37200,0.05465165459783164,3.2305975035135904e-6,3.2305974810969926e-6,0.20880832146836553,0.4296455064445185,0.05641347345241779,3.230597481159759e-6,0.17810157109576263,0.06913675171678811,3.2305986584121586e-6,0.0032297988331915542
400_38000,0.1803513747985209,5.107809826119055e-5,5.107809824016905e-5,5.1078098234527834e-5,0.022700602226437456,5.107809823452929e-5,5.107809826973269e-5,0.7560425045641169,0.03248071987321006,5.1078098202401466e-5,0.008118329948272296
400_38800,5.9955868042416204e-5,0.04824664551357506,5.9955868065087156e-5,0.37547296552215287,5.995586769535585e-5,0.07118483440811177,5.995586801864605e-5,0.24051261645240377,0.2350786377428634,0.029204521020997156,5.9955868074592864e-5
400_39600,0.1105056052839537,1.0274957697562676e-4,1.0274957698045221e-4,1.027495769799208e-4,0.032615251820393834,0.03271018588386348,0.15799468936639935,0.46471409642269196,1.0274957687453236e-4,0.19463374463993913,0.006415428274947975
400_40400,0.4427964801591622,0.057858023303895945,1.0213404863808543e-4,1.021340486452394e-4,1.021340486393949e-4,0.36069887511732074,2.700915894585934e-4,0.10629775844626646,0.025424361779561915,1.0213404862965378e-4,0.006245873409781759
400_41200,0.025360464432062337,0.05437730316224419,8.815857978183576e-5,8.815857978620467e-5,8.81585797818057e-5,0.11867558335956468,8.815857978183211e-5,0.6541899945386949,0.12049430390889329,0.023919463173608567,0.002630253105800436
400_42000,0.15213597242821547,0.07379811906818466,1.6728432377622138e-4,0.0829337748459048,1.6728432383798076e-4,0.009928150748622574,2.4587943623793456e-4,0.6592788357894699,0.013056789403641054,1.672843226596987e-4,0.008120625309449845
400_42800,0.4103284997894965,8.781518817668742e-5,8.781518817709082e-5,0.23431838044296713,8.78151881745045e-5,8.78151881764946e-5,0.013189878688799355,0.3220137741711834,0.017979538079938434,8.781518814717781e-5,0.0017308528867632034
400_43600,0.5493235885482955,3.019581672137066e-4,3.0195816717011224e-4,0.03775438394657731,3.019581671506237e-4,3.019581670847473e-4,3.019581671506689e-4,0.3824500733573381,0.02506029897042991,3.019581662539298e-4,0.0035999061753354804
400_44400,0.3067885277270625,3.44475928280303e-5,3.4447592830056323e-5,3.444759283052486e-5,3.444759283047028e-5,0.07500157788761509,3.444759283048797e-5,0.59260328062829,0.01601558622366917,0.001933439270429118,0.0074853502987848215
400_45200,0.4243430317359033,4.221856392169955e-6,4.221854301220401e-6,4.221854620711922e-6,4.221854619758116e-6,0.01803658805392826,0.10849087115264117,0.4115276546223285,0.03422577609674134,4.221854620613678e-6,0.0033549690639027487
400_46000,0.3564689664559079,7.025231765572481e-6,7.025237813567759e-6,7.0252378630953665e-6,7.025237863184939e-6,0.029507620012720146,0.18352533338725344,0.3580591539466252,0.062321414986126845,7.025237148261577e-6,0.010082385028912776
400_46800,0.27063645536483755,3.334773451177497e-5,3.3347734321626466e-5,3.397644441094794e-5,3.334773410140958e-5,3.3347734321512665e-5,3.334773432152336e-5,0.7075892263936355,0.017601780453027894,2.4374943335224596e-4,0.003728073239157898
400_47600,8.747727801468245e-6,8.747727537788448e-6,8.747727727304367e-6,0.37845054133096345,8.747727676969988e-6,8.747727726817782e-6,8.747728541156393e-6,0.5988303948488104,0.02113561878538098,8.747726960580321e-6,0.0015222109408730149
1200_26000,4.69555579993148e-5,4.695555801075645e-5,0.004429808897338588,4.6955557999574044e-5,4.695555801968101e-5,0.09813605968526033,0.004155397549617605,0.8665927673925462,0.016667691251307255,0.00978349743425235,4.6955557648337216e-5
1200_26800,3.611704042712746e-5,3.611704046989505e-5,3.6117040464250284e-5,0.029962057498611326,3.611704046401838e-5,0.05015420446740154,3.933018181951901e-5,0.8789951299730052,0.036813627169470876,3.611704066195981e-5,0.003855065507204265
1200_27600,1.2357596317001264e-4,1.2357596317504087e-4,1.2357596317130498e-4,0.05944230304764213,1.235759631652854e-4,0.023016015900613356,1.2357596316701157e-4,0.8632313738774025,0.049675869330687905,1.235759632438897e-4,0.0038929820645614934
1200_28400,0.010292593336184184,3.79665438477393e-5,3.7966540392316414e-5,3.796654039508015e-5,3.796654039403249e-5,0.11538850295068927,0.593391428868321,0.06508481420212227,0.04054121194373768,0.15638251016726717,0.018767072366649276
1200_29200,5.52910144055868e-6,5.529101730909435e-6,6.016178526042326e-6,4.0530870852675176e-4,5.52910145241614e-6,0.0651837437698991,0.24699071542686676,0.43618230124288593,5.529101701765229e-6,0.22666652487279956,0.024543273394170187
1200_30000,0.026151651363816968,5.509884752625112e-5,5.509884750759087e-5,0.013877811004569585,5.5098847507563986e-5,5.509884753634461e-5,0.014603876436520462,0.7642400262003812,5.5098847505680496e-5,0.008037673175703941,0.1728134675814244
1200_30800,7.503488388016799e-5,7.503488371161329e-5,7.503488369806408e-5,0.013213157278123736,7.503488369814369e-5,7.930490909452358e-5,7.503488368642677e-5,0.9693137930203606,0.010842814700819844,7.50348836247435e-5,0.006100720789302239
1200_31600,2.755828441993225e-4,2.380971688824137e-4,2.3809716872884624e-4,0.002805835436061917,2.3809716929124418e-4,2.3809716874595698e-4,2.3809716865560816e-4,0.9215539024113371,0.05146699722151473,2.380971668564549e-4,0.02246909907572638
1200_32400,3.713726695031006e-6,4.5817081212750044e-7,4.5816941424224356e-7,4.5817030301293914e-7,4.581694134593181e-7,0.19063760916135464,0.011808233502996207,0.7640662068813318,0.01980422739363807,4.5816941339978623e-7,0.013677718484628105
1200_33200,0.17384865983014464,4.899945691696036e-5,4.899945704587908e-5,4.899945704597733e-5,4.899945704595328e-5,0.15780231387257937,0.021058254558307992,0.594535407957145,0.049469315671670774,4.8999457038622114e-5,0.0030410508250588997
1200_34000,0.05128626834316615,3.0945650274873136e-5,3.094565077883591e-5,3.09456507771604e-5,8.083006355669646e-5,0.06301451485238252,0.339970916641874,0.41302216900918154,3.0945650736252944e-5,0.1292945183474649,0.00320700013980686
1200_34800,0.060366079704057773,6.416021734120475e-5,6.41602173998989e-5,6.416021739992382e-5,6.416021739992704e-5,0.11468440875595497,0.21076968161458157,0.5381885331355003,0.04868289411410378,0.008495847599857578,0.018555914206403113
1200_35600,0.10032591988596082,0.004345360253026004,2.3849828850825717e-5,2.3849828855707096e-5,2.384982885061617e-5,2.3308160755570738e-4,0.46045245228903214,0.4117746476696561,0.019481300224442367,2.3849828860732025e-05,0.003291838754909092
1200_36400,0.23539222791696818,3.270034054280674e-5,3.270034054252588e-5,3.270034054252078e-5,3.9341697665667494e-5,0.02169323423698618,0.18819856793291784,0.33286461957054475,0.19835750393361656,0.017133116332760316,0.006223287356912656
1200_37200,0.18272209646318535,6.781618060642035e-6,6.781618015824947e-6,6.781618006945374e-6,0.12662408716743778,6.781618084037681e-6,0.11433399970217505,0.5579009945900932,0.013194467099894564,6.781618020247441e-6,0.005190446887026565
1200_38000,3.3569989008377456e-5,3.356998896469142e-5,3.3569989008087025e-5,2.867834120740632e-4,3.356998902990583e-5,0.050090212797332674,0.46594299740764167,0.4043171656334317,0.0726903453427833,0.005669836408163672,8.683790425619299e-4
1200_38800,0.07036968411020587,1.7104272355347972e-5,1.7104272345194778e-5,2.1105026953276442e-5,4.993607364266012e-5,0.05677888074340571,0.12654293734624336,0.7161500886868872,0.026138378102939567,1.7104272350428926e-5,0.0038976770926712166
1200_39600,0.15595030899229928,0.011592701750590656,7.129416712908634e-6,0.011221762069274952,0.08475731042476156,0.07829231128791549,0.18450151748348978,0.4377505417567978,0.027885412248714717,7.129417491674845e-6,0.008033875151951173
1200_40400,0.17969702371256513,0.08309521519055904,1.4440032232647382e-4,1.444003223264639e-4,1.4440032232645712e-4,0.09266940104516391,0.2620864954685679,0.33252810082101647,0.042577452740241654,1.4440032229587764e-4,0.006768709732610652
1200_41200,1.5266079044986484e-4,0.116551545521709,1.5266079044986061e-4,1.5266079045139994e-4,1.5266079044993494e-4,0.1365081547871539,0.0771111295289987,0.5649466360507551,0.09649505603919147,0.002276487682479594,0.005500347227911083
1200_42000,0.22930943743446405,0.008032359732146128,1.86410067700283e-5,0.1350745824898753,1.8641006744404907e-5,1.8641006744377463e-5,0.035190741338813454,0.3858376838461028,0.13923344997092715,1.864102693141197e-5,0.06724718114048107
1200_42800,0.302516700245938,9.32084609194352e-5,9.320846092030151e-5,0.14706994526365177,9.320846109784851e-5,9.320846092669128e-5,0.023663535432541905,0.34651239963996305,0.13363314107138508,9.320846658367821e-5,0.04613823603607238
1200_43600,0.5881876154688724,1.028200696388212e-4,1.028200695487728e-4,1.0282006954474538e-4,1.0282006954470113e-4,0.024772594918303248,1.1617110718460571e-4,0.3714522749461972,0.010824560363291559,1.0282007006316712e-4,0.00413268284781065
1200_44400,0.47459102033670453,1.789348432431543e-4,1.789348432149105e-4,1.7893484322567261e-4,1.7893484322431473e-4,0.03645415848016636,0.1350388992920163,0.23883633083298242,0.07418559470962961,0.03142085355512183,0.00875740342047076
1200_45200,0.4890714697316323,6.463975521868273e-5,6.46397556734773e-5,6.463975568802136e-5,6.463975568797952e-5,6.463975569021104e-5,0.09034776377410368,0.3311191756000268,0.03811077007154533,0.044597334168645905,0.006430287876087559
1200_46000,0.41802480007773274,1.8938993181371615e-5,1.8938993343147403e-5,1.89389933384546e-5,1.8938993339208943e-5,1.8938993338487786e-5,0.1257361516475258,0.40043613632869923,0.029777666251052978,0.02052245890119743,0.00540809182725112
1200_46800,0.19482017534438317,5.4990481013299647e-05,5.499048104263995e-5,5.499048104264385e-5,5.49904810426486e-5,0.04960090373276197,0.04654259988188108,0.6664777996750967,0.04096208198549228,5.499048102493836e-5,0.0013214869752186725
1200_47600,1.4342826453435226e-5,1.4342826471431998e-5,1.4342826459073725e-5,0.0031020464015762443,1.4342826459405582e-5,0.03777347125136645,1.434282645914905e-5,0.9239935166781187,0.023993617627339096,1.434282538866446e-5,0.01105129108390845
2000_26000,3.5337413484636535e-5,3.5337413550830446e-5,3.533741348319239e-5,0.0011861982870389153,3.533741353614352e-5,4.665064927879623e-4,3.533741332841721e-5,0.9581009113576751,0.030867428352567648,3.533741266534406e-5,0.009166931029881899
